,0,1
0,['AXA expects to book US31 billion gain from EQH exit  '],"{'neg': 0.0, 'neu': 0.746, 'pos': 0.254, 'compound': 0.5267}"
1,['Government pumps S100 million to help train rail workers  '],"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.4019}"
2,['Gardens by the Bay gets first Nordic theme with Poinsettia Wishes floral displays  '],"{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.1531}"
3,['Indian Supreme Court clears way for Hindu temple at disputed site  '],"{'neg': 0.147, 'neu': 0.552, 'pos': 0.301, 'compound': 0.3612}"
4,['RT  I made another documentary Chinas Growing Appetite airs A WEEK FROM NOW '],"{'neg': 0.0, 'neu': 0.866, 'pos': 0.134, 'compound': 0.1779}"
5,['Courteney Coxs Mr and Mrs Bing Instagram post makes fans so happy  '],"{'neg': 0.0, 'neu': 0.717, 'pos': 0.283, 'compound': 0.6948}"
6,['NASA unveils its first electric airplane  a work in progress  '],"{'neg': 0.0, 'neu': 0.763, 'pos': 0.237, 'compound': 0.4215}"
7,['Singles Day is coming How to get the best deals on Taobao  '],"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.6369}"
8,['US wants UN to take up Dalai Lama succession  '],"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}"
9,['Olympic champion Joseph Schooling is now a beauty maven with his own skincare line  '],"{'neg': 0.0, 'neu': 0.609, 'pos': 0.391, 'compound': 0.8271}"
10,['IMF approves US450 million loan tranche for Pakistan  '],"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.4019}"
11,['Football Watford finally win after sinking lacklustre Norwich 20  '],"{'neg': 0.0, 'neu': 0.703, 'pos': 0.297, 'compound': 0.5859}"
12,['General Dynamics wins US732 million US defense contract Pentagon  '],"{'neg': 0.0, 'neu': 0.49, 'pos': 0.51, 'compound': 0.743}"
13,['Brazils leftist icon Lula walks free from jail  '],"{'neg': 0.0, 'neu': 0.708, 'pos': 0.292, 'compound': 0.5106}"
14,['Commentary Thailand hasnt lost its lustre with travellers There are many undiscovered sights '],"{'neg': 0.0, 'neu': 0.869, 'pos': 0.131, 'compound': 0.2411}"
15,['Bordeaux go third with 11 draw at Nice in Ligue 1  '],"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.4215}"
16,['Sexchange operations yield longterm mental health benefits for transgender people  '],"{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.3818}"
17,['Ben amp Jerrys is sued over happy cows claim  '],"{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.5719}"
18,['US womens team granted class action status in equalpay lawsuit  '],"{'neg': 0.147, 'neu': 0.698, 'pos': 0.155, 'compound': 0.0258}"
19,['Football Chelseas Kante is more than a defensive midfielder says Lampard  '],"{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.0972}"
20,['Football Arsenals Xhaka not in right frame of mind to play Leicester says Emery  '],"{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.34}"
