,0,1
0,[' JamesODonnellNY If you want to call it a trade war go ahead were winning realDonaldTrump NY1820181030 23594700000'],"{'neg': 0.173, 'neu': 0.619, 'pos': 0.208, 'compound': -0.0516}"
1,['long but food for thought American chaos is already oozing over the border the trickle of refugees crossing after Voldemorts election has swollen to a flood a trade war is underway with a US trade representative  20181030 23583600000'],"{'neg': 0.24, 'neu': 0.76, 'pos': 0.0, 'compound': -0.9081}"
2,['If you want to call it a trade war go ahead were winning realDonaldTrump20181030 23581000003'],"{'neg': 0.199, 'neu': 0.561, 'pos': 0.24, 'compound': -0.0516}"
3,['COSCO Shipping Ports Defies Trade War Fears  20181030 23560700000'],"{'neg': 0.489, 'neu': 0.511, 'pos': 0.0, 'compound': -0.7717}"
4,['Yes Two prominent Chinese economists have broken with Communist party orthodoxy arguing that the trade war with the US is the result of Beijings stateled development model rather than Donald Trumps attempt to block Chinas rise   via FinancialTimes20181030 23552300000'],"{'neg': 0.253, 'neu': 0.648, 'pos': 0.098, 'compound': -0.836}"
5,['They are not waiting to see who is in office They are waiting to see how this trade war you started will go If you want jobs and stronger economy vote for dems They will stabelize this mess trump is creating wtax scams and trade wars20181030 23552000003'],"{'neg': 0.183, 'neu': 0.711, 'pos': 0.106, 'compound': -0.7561}"
6,['US eyes more China tariffs if TrumpXi meeting fails reports Trade war may escalate unless progress made at meeting on the sidelines of Group of 20 leaders summit in November  pictwittercomxgDGp1C71520181030 23543300000'],"{'neg': 0.174, 'neu': 0.753, 'pos': 0.073, 'compound': -0.5994}"
7,['Opponenta of the trade war were the same when Clinton tried to restrict Chinese IP theft back in the 1990s as they are now Wall Street bigbusiness executives and other members of the US elite who made good money trading with China Trade friction would rock the boat  SCMP20181030 23541100000'],"{'neg': 0.115, 'neu': 0.833, 'pos': 0.051, 'compound': -0.5574}"
8,['Microchips are key to understanding Trumps trade war with China   via techreview20181030 23523700000'],"{'neg': 0.245, 'neu': 0.755, 'pos': 0.0, 'compound': -0.5994}"
9,['Oil holds losses on escalating trade war  pictwittercompqYa7OETW720181030 23513300000'],"{'neg': 0.485, 'neu': 0.515, 'pos': 0.0, 'compound': -0.765}"
10,['We are the casualty in the Trade War TradeWar  20181030 23511100000'],"{'neg': 0.448, 'neu': 0.552, 'pos': 0.0, 'compound': -0.8074}"
11,['US Companies in China Are Considering Relocating Manufacturing Due to Trade War Impacts  20181030 23505200000'],"{'neg': 0.218, 'neu': 0.782, 'pos': 0.0, 'compound': -0.5994}"
12,['Wardlow is a suburbanite Hes never worked a day on a farm his entire life doesnt understand ag issues and supports Trumps disastrous trade war that is killing commodity prices and hurting small family farmers20181030 23492600000'],"{'neg': 0.328, 'neu': 0.617, 'pos': 0.055, 'compound': -0.9246}"
13,['California Cheese Makers Hit Hard by USMexico Trade War  pictwittercom5Zn88ZWBkU20181030 23481200000'],"{'neg': 0.371, 'neu': 0.629, 'pos': 0.0, 'compound': -0.6486}"
14,['Vietnam is Winning the USChina Trade War On the twoandahalfhour drive between Hanoi and the karst peaks of Halong Bay tourists barely see the countryside Industrial sprawl lines the road for most of the trip which comprises just one segment of  pictwittercomdW4FeuI6WH20181030 23480500000'],"{'neg': 0.081, 'neu': 0.849, 'pos': 0.07, 'compound': -0.128}"
15,['California Cheese Makers Hit Hard by USMexico Trade War  23480400001'],"{'neg': 0.398, 'neu': 0.602, 'pos': 0.0, 'compound': -0.6486}"
