,0,1
0,['Tweets']------------------------------,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,['0']-----------------------------------,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,['Blame Trumps voluntary Trade War20181030 23561600000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,['Vietnam ministry of trade urges footwear manufacturers to invest and grow exports VietnameseLanguage Footwear TradeWar  pictwittercom7nPI3Kq5k220181030 23510200000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4,['US planning tariffs on remaining 257 billion in Chinese goods report China TradeWar  20181030 23434000000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
5,['American dairy farmers try to squeeze another 1 billion of Welfaretax payers money From Trump TradeWar tariffs Economy Midterms2018 GOPComplicit FBRParty TrumpTrain QArmyTrain HealthCare Collusion Vote 20181030 23420100000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6,['Trumps next set of China tariffs could hit consumers harder by business tradewar China20181030 23033300001'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
7,['Fiat Chrysler Earnings Beat But Tariffs Emissions and Asia Weigh FCAU GM TradeWar MIB SPX  pictwittercomFKbIhExhxx20181030 22494600001'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8,['No se xq pienso que hoy en la nochealgo del tradewar se hablara y los mercados estallaran20181030 22474800000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,['American dairy farmers try to squeeze another 1 billion out of Trump ahead of midterms   dairyfarmers aid tradewar tariffs20181030 22424900000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
10,['President Trump is confident that the trade war with China will be resolved and also expects the US to talk with Japan and the EU Trade GovernmentRelations 20181030 22151300000'],"{'neg': 0.112, 'neu': 0.747, 'pos': 0.141, 'compound': 0.0}"
11,['Find out why our head of macro analysis Christopher Dembik believes China may have done too little too late Download our Q4 outlook now   QuarterlyOutlook SaxoStrats TradeWar pictwittercom6EpWA6L7qV20181030 22003900000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
12,['MAGA TradeWar  20181030 212806000012'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
13,['CNBC This is not your fathers trade war20181030 21212100000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
14,['Trump talks great deal with China to ease trade war tensions  for now  21202900000'],"{'neg': 0.284, 'neu': 0.431, 'pos': 0.284, 'compound': -0.0}"
