,0,1
0,['Remember the anonymous OpEd Shithole countries ParisAgreement pullout Irannucleardeal pullout tradewar tariffs on friends  allies Khashoggi brushoff PipeBombs brushoff Charlottesville 5000 falsehoods NorthKorea blunder RussiaGate putinsummit blunder Pittsburgh visit20181030 23555200000'],"{'neg': 0.0, 'neu': 0.903, 'pos': 0.097, 'compound': 0.4767}"
1,['Mark was hard on Trump but didnt want its her turn to win so he held his nose and supported trump Since then he has been impressed As for the deficit thank the rinos and the dems for lack of spending Trade war is temporary to establish no tariffs wages are rising and20181030 23252400000'],"{'neg': 0.224, 'neu': 0.573, 'pos': 0.203, 'compound': 0.0943}"
2,['Howevervolatility may extend as investor sentiment could become increasingly sensitive to any US political headlines or discussions on the USChina trade warThe higher US 10 year bond yield above 31 could also act as catalyst to higher sensitivity in share pricesJonoChanCMC20181030 23171400000'],"{'neg': 0.0, 'neu': 0.911, 'pos': 0.089, 'compound': 0.4404}"
3,['Daily Outlook  Oil prices down more than 1 pct on rising supply trade war USD at 16month high as strong US data supports FX Commodities Niikei Kospi Hangseng  pictwittercom0yNsk3oIlp20181030 23165400000'],"{'neg': 0.109, 'neu': 0.728, 'pos': 0.162, 'compound': 0.2263}"
4,['On Tariffs JG Farmers want to have an opportunity to make an honest living We need action but it should not be a trade war It should be fixed through diplomacy These are self inflicted wounds on our farmers20181030 230024000033'],"{'neg': 0.0, 'neu': 0.788, 'pos': 0.212, 'compound': 0.8136}"
5,['CNNSitRoom as history has repeatedly shown us you cant when a war by fighting on two fronts The POTUS is fighting the culture war a preemptive Cold War  trade war with China and a preemptive war with the media Sooner or later the walls always come crashing down20181030 22435600000'],"{'neg': 0.147, 'neu': 0.645, 'pos': 0.208, 'compound': 0.5696}"
6,['China is Australias most important trade partner Will the USChina trade dispute limit Australias growth prospects   DeloitteInsight ausbiz ausecon tradewar20181030 22150800001'],"{'neg': 0.102, 'neu': 0.639, 'pos': 0.259, 'compound': 0.4927}"
7,['Trump trade war against China is making American farmers poor and Russian farmers rich Yet another Win for Putin  20181030 22101200000'],"{'neg': 0.223, 'neu': 0.541, 'pos': 0.236, 'compound': 0.1027}"
8,['Asia trade pact moves forward with 11 countries not the US one of the principal architects of the deal The Comprehensive and Progressive Agreement for TransPacific Partnership CPTPP will reduce tariffs throughout the region   tradewar tariffs20181030 22082100002'],"{'neg': 0.0, 'neu': 0.871, 'pos': 0.129, 'compound': 0.6369}"
9,['His use of linkage in trade disputes has damaged ties between the US and its major trading partners for little gain The trade war with China has no clear end game but clear and growing costs Global public opinion toward the US has plummeted20181030 21352100000'],"{'neg': 0.14, 'neu': 0.687, 'pos': 0.173, 'compound': 0.4124}"
10,['When you look downward you will see 103 level where the interest rates were not as high as today EURUSD is overvalued eurusd euro dollar brexit tradewar forex fed ecb usdpictwittercomTrgsTrIqey20181030 21264300000'],"{'neg': 0.0, 'neu': 0.912, 'pos': 0.088, 'compound': 0.4588}"
11,['Maybe if trump did something positive hed get positive coverage Tax cut for the 1 incredible deficit babies and small children in cages a needless trade war fighting w allies and kissing two bit dictators  ari have you gone completely over to the dark side20181030 21243500000'],"{'neg': 0.193, 'neu': 0.62, 'pos': 0.188, 'compound': 0.1779}"
12,['Pres of FarmBureau ZippyDuvall says nmpf dairyJAM18 that farmer support for POTUS depends on individual circumstances Lesswellcapitalized farms feeling pressure from TradeWar and prices We all want to support him but what about my individual farm Will I survive pictwittercomqdOXGXW3Jn20181030 21160500001'],"{'neg': 0.037, 'neu': 0.82, 'pos': 0.143, 'compound': 0.3612}"
