,0,1
0,['The  Core i99900KS is capable of running all its eight cores at a turbo boost frequency of 5 GHz with a '],"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.6486}"
1,['In some of the African countries the Russianrun networks worked with local citizens to better disguise their orig '],"{'neg': 0.091, 'neu': 0.776, 'pos': 0.132, 'compound': 0.2263}"
2,['Although the  Mavic Mini doesnt shoot 4K footage it can record videos in 27K resolution at 30 frames p '],"{'neg': 0.0, 'neu': 0.898, 'pos': 0.102, 'compound': 0.2584}"
3,[' said it was pleased to have reached a settlement and the company wished it had done more to investigate '],"{'neg': 0.0, 'neu': 0.807, 'pos': 0.193, 'compound': 0.5106}"
4,['The study found that there are more than 100 million people living below high tide levels and a greater number of p '],"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.4215}"
5,['There is a strong consensus among the scientific community about drones potential to improve the understanding of t '],"{'neg': 0.0, 'neu': 0.708, 'pos': 0.292, 'compound': 0.7351}"
6,['The  4 has sold around 1028 million units going ahead of the original PlayStation sales of 1025 mill '],"{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.3182}"
7,[' Console Streaming is supported by every game available in the Xbox One library and you will need an  '],"{'neg': 0.0, 'neu': 0.892, 'pos': 0.108, 'compound': 0.3182}"
8,['The  had set a goal that 10 percent of the oceans were to be made Marine Protected Areas by 2020 A study has co '],"{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.4404}"
9,['Looks like  payment service ApplePay is under the EU regulatory scanner The EU antitrust regulator has as '],"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.3612}"
10,[' launches MiSmartBedsideLamp2 on its crowdfunding platform which comes with support for voice contro '],"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4019}"
11,['It is very important to take control and decide what happens to your digital accounts in your afterlife Heres how '],"{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.2716}"
12,[' is all set to debut in the smartwatch segment and its first product looks just like the AppleWatch  Coin '],"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.3612}"
13,['A  plane that spent 780 days in space has successfully completed its mission objectives However not m '],"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.4939}"
14,['The  PocoF1s MIUI 11 update has a size of 18 GB and it also brings in the October security patch '],"{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.34}"
15,['Climate activist  has rejected an environmental award because she wants people to listen to the scien '],"{'neg': 0.151, 'neu': 0.688, 'pos': 0.161, 'compound': 0.0516}"
16,['This new  Folding phone will have a clamshell design much like the rumoured  Razr folding phone '],"{'neg': 0.0, 'neu': 0.857, 'pos': 0.143, 'compound': 0.3612}"
17,[' has announced Super upgrades to the  GTX 1660 and GTX 1650 graphics cards While the GTX 1 '],"{'neg': 0.0, 'neu': 0.813, 'pos': 0.187, 'compound': 0.5994}"
18,['Protected areas are not reducing the anthropogenic pressure on our most precious natural habitats They are affec '],"{'neg': 0.092, 'neu': 0.626, 'pos': 0.282, 'compound': 0.6779}"
19,['The new and upgraded  Shield TV lineup features a more powerful Tegra X1 chipset that features  Vis '],"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4754}"
20,['Blockchain technology is being hailed as the next big thing  wants to make it mainstream and has launch '],"{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.2263}"
21,['  spokeswoman Bertie Thomson says the company remains committed to not censoring political speech '],"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.2732}"
22,[' could reveal  2 at BlizzCon 2019 along with a PvE story mode new game mode and hero '],"{'neg': 0.0, 'neu': 0.816, 'pos': 0.184, 'compound': 0.5574}"
23,['Will  release its games on  Will they do it in time before the upcoming sales Well find out soon '],"{'neg': 0.0, 'neu': 0.9, 'pos': 0.1, 'compound': 0.2732}"
24,[' PlayStation Vue streaming service hasnt been able to turn a profit since it launched in March 2015 '],"{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.5267}"
25,[' second phone with the 108 MP  ISOCELL Bright HMX camera sensor is set to launch using '],"{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.4404}"
26,['Wish you all a very HAPPY DIWALI and a prosperous new year from the Tech2 family '],"{'neg': 0.0, 'neu': 0.624, 'pos': 0.376, 'compound': 0.8328}"
27,['  MiPay is designed to be an integrated payment solution having UPI payments recharges bill payments a '],"{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.3182}"
28,['A modification of the  Camera 72 has brought Super Res Zoom and Astrophotography mode to older Pixel phones '],"{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.5994}"
29,['The Pentagon has said it had awarded more than 11 billion across 10 separate cloud contracts over the past two yea '],"{'neg': 0.0, 'neu': 0.886, 'pos': 0.114, 'compound': 0.4019}"
30,['Diwali is almost here so heres how you can use Stickers on  to wish your family relatives and friends'],"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.4019}"
31,[' will allow its customers to make free and unlimited voice calls to any landline and mobile number i '],"{'neg': 0.0, 'neu': 0.711, 'pos': 0.289, 'compound': 0.6705}"
32,['The variable playback speed being tested by  will allow users to slow down videos by 05x or 075x and '],"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.2263}"
33,['Astronomers dedicated to  announced that they will be collaborating with  to work on a telescope '],"{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.4588}"
34,[' now has a special HappyDiwali emoji There is also a little trick to this emoji find out what it is'],"{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.4201}"
35,[' has set up a studio named Stadia Games and Entertainment in Montreal  studio chief Jade '],"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.4215}"
36,['OnePlus7TProMcLarenEdition is now available for purchase on Amazon Check out  review of the '],"{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.1779}"
37,['India has launched a nationwide protocol to count its snow leopard population A mere 7000 of these highaltitude '],"{'neg': 0.0, 'neu': 0.914, 'pos': 0.086, 'compound': 0.128}"
38,[' says Libra is not consistent with what I personally believe and what I want our company to stand for '],"{'neg': 0.0, 'neu': 0.933, 'pos': 0.067, 'compound': 0.0772}"
