,0,1
0,['Spotify launches a dedicated Kids app with curated playlists and playful art  '],"{'neg': 0.0, 'neu': 0.629, 'pos': 0.371, 'compound': 0.7096}"
1,['It might be safe to update your Apple HomePod now  '],"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}"
2,['Text editor releases Free Uyghur edition gets swamped with Chinese spam  '],"{'neg': 0.158, 'neu': 0.633, 'pos': 0.209, 'compound': 0.2023}"
3,['Slow iPhone sales didnt stop Apple from its best Q4 revenue ever  '],"{'neg': 0.0, 'neu': 0.644, 'pos': 0.356, 'compound': 0.7259}"
4,['Lyft is still losing a ton of money but it claims profit is within reach  '],"{'neg': 0.096, 'neu': 0.638, 'pos': 0.266, 'compound': 0.4939}"
5,['Mixer lowers its subscription price to better compete with Twitch  '],"{'neg': 0.112, 'neu': 0.672, 'pos': 0.216, 'compound': 0.34}"
6,['Hackers hijacked the capitals surveillance cameras days before Trumps inauguration and said it was easy '],"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4404}"
7,['Apples Mac Pro clears FCC hinting at imminent launch  '],"{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.0772}"
8,['ATampT updates its unlimited plans again now with more data and less free TV  '],"{'neg': 0.0, 'neu': 0.823, 'pos': 0.177, 'compound': 0.4601}"
9,['DeepMinds StarCraft 2 AI is now better than 998 percent of all human players  '],"{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.4404}"
10,['SiriusXM is coming to Google Assistant smart speakers and displays  '],"{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}"
11,['What DC Comics needs to learn from Jokers success  and how the film echoes back to DCs glory days as the company '],"{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.802}"
12,['Heres whos eligible for free HBO Max  '],"{'neg': 0.0, 'neu': 0.68, 'pos': 0.32, 'compound': 0.5106}"
13,['Faraday Future has a new CEO Carsten Breitfeld who hopes to put Faraday Future back on track But if he cant con '],"{'neg': 0.0, 'neu': 0.917, 'pos': 0.083, 'compound': 0.2263}"
14,['LG G8X Dual Screen review better than you might ThinQ  '],"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}"
15,['Spotify launches a dedicated Kids app with curated playlists and playful art  '],"{'neg': 0.0, 'neu': 0.629, 'pos': 0.371, 'compound': 0.7096}"
16,['Snapchat now lets you 3D Paint faces and pretty much anything else  '],"{'neg': 0.0, 'neu': 0.789, 'pos': 0.211, 'compound': 0.4939}"
17,['The PS4 has outsold the original PlayStation and the Wii  '],"{'neg': 0.0, 'neu': 0.813, 'pos': 0.187, 'compound': 0.3182}"
18,['Amazon adds new wakeup lighting and sleep timer features for Alexapowered smart lights  '],"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4019}"
19,['Samsungs new Galaxy Book Flex and Ion laptops bring better designs to the lineup  '],"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4404}"
20,['watchOS 61 now available with Series 1 Series 2 and AirPods Pro support  '],"{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.4019}"
21,['Afterparty is a hilarious exploration of the afterlife and binge drinking  '],"{'neg': 0.0, 'neu': 0.662, 'pos': 0.338, 'compound': 0.5574}"
22,['Heres how Apples new AirPods Pro stack up with other truly wireless earbuds  '],"{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.4404}"
23,['YouTube Music gets Siri and desktop web app support  '],"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.4019}"
24,['Razers first truly wireless earbuds aim to fix gaming audio lag on Android  '],"{'neg': 0.139, 'neu': 0.694, 'pos': 0.168, 'compound': 0.128}"
25,['Amazon Echo Buds review great sound at the right price  '],"{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.6249}"
26,['Logitechs MX Master 3 scroll wheel is focused hardware at its best  '],"{'neg': 0.0, 'neu': 0.595, 'pos': 0.405, 'compound': 0.7783}"
27,['Nvidia unveils new Super variants for GTX 1660 and GTX 1650 graphics cards  '],"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.5994}"
28,['Heres what HBO Max looks like  ']-----,"{'neg': 0.0, 'neu': 0.706, 'pos': 0.294, 'compound': 0.3612}"
29,['The worlds first poop database needs your help  '],"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.4019}"
30,['In the escalating fight between Twitch and Mixer YouTube is the real winner  '],"{'neg': 0.141, 'neu': 0.652, 'pos': 0.207, 'compound': 0.296}"
31,['Black Friday is still weeks away but Walmart has already started lowering prices Weve gathered the best deals so '],"{'neg': 0.095, 'neu': 0.684, 'pos': 0.221, 'compound': 0.6486}"
32,['How to share your audio in iOS 13  ']-,"{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.296}"
33,['Amazon adds new wakeup lighting and sleep timer features for Alexapowered smart lights  '],"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4019}"
34,['Samsungs new Galaxy Book Flex and Ion laptops bring better designs to the lineup  '],"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4404}"
35,['watchOS 61 now available with Series 1 Series 2 and AirPods Pro support  '],"{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.4019}"
36,['Afterparty is a hilarious exploration of the afterlife and binge drinking  '],"{'neg': 0.0, 'neu': 0.662, 'pos': 0.338, 'compound': 0.5574}"
37,['Heres how Apples new AirPods Pro stack up with other truly wireless earbuds  '],"{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.4404}"
38,['YouTube Music gets Siri and desktop web app support  '],"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.4019}"
39,['Razers first truly wireless earbuds aim to fix gaming audio lag on Android  '],"{'neg': 0.139, 'neu': 0.694, 'pos': 0.168, 'compound': 0.128}"
40,['Ikeas smart button leaks with a tease of scenes to come  '],"{'neg': 0.164, 'neu': 0.643, 'pos': 0.193, 'compound': 0.1027}"
41,['Amazon Echo Buds review great sound at the right price  '],"{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.6249}"
42,['Logitechs MX Master 3 scroll wheel is focused hardware at its best  '],"{'neg': 0.0, 'neu': 0.595, 'pos': 0.405, 'compound': 0.7783}"
43,['Nvidia unveils new Super variants for GTX 1660 and GTX 1650 graphics cards  '],"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.5994}"
44,['The worlds first poop database needs your help  '],"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.4019}"
45,['The Moto 360 smartwatch is back well sort of  '],"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.2732}"
46,['Facebooks embrace of Breitbart doesnt add up  '],"{'neg': 0.0, 'neu': 0.753, 'pos': 0.247, 'compound': 0.3182}"
47,['Facebook employees strongly object to companys political ad policy  '],"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.2732}"
48,['Spotify is profitable once again as it cuts costs and adds cheaper plans  '],"{'neg': 0.129, 'neu': 0.702, 'pos': 0.17, 'compound': 0.1779}"
49,['Uber Money is the companys latest attempt to expand into financial services  '],"{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.3182}"
50,['Apples HomePod now supports multiple users with HomePod 132 update  '],"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.3612}"
51,['How to make sense of your fitness apps privacy policy '],"{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.2732}"
52,['Adobe restores service in Venezuela adds three months for free as an apology  '],"{'neg': 0.0, 'neu': 0.621, 'pos': 0.379, 'compound': 0.6908}"
53,['ATampT still hemorrhaging TV customers lays out threeyear plan to satisfy activist investor  '],"{'neg': 0.0, 'neu': 0.812, 'pos': 0.188, 'compound': 0.4588}"
54,['Microsofts Xbox bundles are back and ready for the new Project Scarlett Xbox  '],"{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.3612}"
55,['Californias blackouts reveal health cares fragile power system  '],"{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.4588}"
56,['Nvidias new Shield TV Pro and Shield TV add Dolby Vision and AI 4K upscaling  '],"{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.25}"
57,['Virgin Galactic celebrates first day on the New York Stock Exchange  '],"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.5719}"
58,['Mixer adds another top streamer to its roster which means its plan is working  '],"{'neg': 0.0, 'neu': 0.886, 'pos': 0.114, 'compound': 0.2023}"
59,['Elon Musk offers discounted solar panels and batteries after California blackouts  '],"{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.0516}"
60,['Facebook employees strongly object to companys political ad policy  '],"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.2732}"
61,['Spotify is profitable once again as it cuts costs and adds cheaper plans  '],"{'neg': 0.129, 'neu': 0.702, 'pos': 0.17, 'compound': 0.1779}"
62,['Uber Money is the companys latest attempt to expand into financial services  '],"{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.3182}"
63,['Apple might release new Smart Battery Cases to make iPhone 11 battery life even better  '],"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.6808}"
64,['Apples HomePod now supports multiple users with HomePod 132 update  '],"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.3612}"
65,['RT  Microsofts new improved secondgeneration Elite wireless controller for Xbox One and PC releases on Nov 4th and is over'],"{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.4767}"
66,['How to make sense of your fitness apps privacy policy '],"{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.2732}"
67,['Adobe restores service in Venezuela adds three months for free as an apology  '],"{'neg': 0.0, 'neu': 0.621, 'pos': 0.379, 'compound': 0.6908}"
68,['Google Pixel 4 and 4 XL review the best Android experience '],"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.6369}"
69,['RT  Do you keep your refrigerator full of vaccines running or do you keep the communitys electronic health care records'],"{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.4939}"
70,['ATampT still hemorrhaging TV customers lays out threeyear plan to satisfy activist investor  '],"{'neg': 0.0, 'neu': 0.812, 'pos': 0.188, 'compound': 0.4588}"
71,['Microsofts Xbox bundles are back and ready for the new Project Scarlett Xbox  '],"{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.3612}"
72,['Californias blackouts reveal health cares fragile power system  '],"{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.4588}"
73,['Nvidias new Shield TV Pro and Shield TV add Dolby Vision and AI 4K upscaling  '],"{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.25}"
