,0,1
0,['Tweets']------------------------------,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,['Samsung brings QLED to the midrange  our handson Samsung Galaxy Book Ion review  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,['Samsungs clamshell foldable design is the future of the Galaxy Fold  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,['Samsung introduces a fleet of Ultrabooks with the first QLED displays for laptops  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4,['Black Friday TV sale at Walmart early access deals from Vizio Samsung amp more '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
5,['Samsung Sony Moto and more phones set to issue Android 10 update by end of year  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6,['The LG G8X ThinQ with Dual Screen a twoscreen foldable alternative onethird the price of a Samsung Galaxy Fold '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
7,['Samsungs Galaxy Fold finally arrives in Australia next week '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8,['Samsungs Galaxy Fold 2 could arrive as soon as April 2020 '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,['US readers this is the cheapest Samsung laptop weve seen this year and its a real stunner '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
10,['Samsung Galaxy Note 11 could have an inscreen camera  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
11,['Will the Samsung Galaxy S11 be a device designed for viewing movies '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
12,['Samsung Galaxy S10 Lite or S11 Lite could be in the works  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
13,['Samsung Galaxy Note 10 Lite could be real and coming in two shades  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
14,['Samsung Galaxy S11 could land on February 18  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
15,['The Wall is here you can now put Samsungs 292inch TV in your living room '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
16,['Samsung Galaxy Home speaker will it ever be released '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
17,['The Wall is here you can now put Samsungs 292inch TV in your living room  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
18,['And the Samsung Galaxy Fold breaks again  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
