,0,1
0,['Tweets']------------------------------,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,['Apples 5G iPhones will reportedly be powered by its first 5nanometer chips  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,['A Facebook content moderation vendor is quitting the business after two Verge investigations  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,['How to find your Apple Watch  ']------,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4,['Steams redesigned library is out now for everyone  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
5,['Hate speech is spreading on Facebook in India again  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6,['Apple will soon let you tack an iPhone onto your monthly Apple Card bill  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
7,['Apex Legends is launching a duos game mode for the first time  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8,['Update your iPhone 5 before November 3rd to keep email web and GPS working  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,['Outlook for iOS is getting iPad Split View Do Not Disturb and smart folders  '],"{'neg': 0.129, 'neu': 0.742, 'pos': 0.129, 'compound': 0.0}"
10,['Samsungs newest rugged tablet is available now in the US starting at 59999  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
11,['One way of turning the company around might be bankruptcy But that may change Jias immigration status who came t '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
12,['Apple TV Plus is now bundled with Apple Music student plans  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
13,['Faraday Futures founder Jia Yueting burned through 900 million of his own money until the company was just mont '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
14,['In 2017 Faraday Future made a big splash at CES with its luxury SUV But the car still hasnt gone into production '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
15,['Sonos launches tradeup program for its oldest products  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
16,['Xbox Game Streaming handson turn your Xbox into a game streaming server  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
17,['Daylight saving time is hot garbage '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
18,['Samsung Galaxy Fold rereview here we go again  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
19,['Linksys announces WiFi 6 Velop mesh router starting at 399  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
20,['The Mavic Mini is DJIs first drone that doesnt need FAA registration  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
21,['Apples 5G iPhones will reportedly be powered by its first 5nanometer chips  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
22,['How to find your Apple Watch  ']------,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
23,['Hate speech is spreading on Facebook in India again  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
24,['Xbox One testers can now stream any game to an Android phone  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
25,['Sony is shutting down its live TV service PlayStation Vue in January 2020  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
26,['Call of Dutys citybased league kicks off in January  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
27,['Porsche trials online sales that still require a trip to the dealer  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
28,['Razers Junglecat brings Nintendo Switchlike snapon controllers to Android  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
29,['The California fires show how unprepared we are for climate change  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
30,['Amber Baldet on what blockchain technology can do for us beyond cryptocurrency  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
31,['LGs G8X ThinQ is coming to ATampT on November 1st  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
32,['How to enable LTE cellular service on your Apple Watch  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
33,['EA games are returning to Steam along with the EA Access subscription service  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
34,['Netflix wants to let people watch things at twice the speed but Hollywood is pushing back  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
35,['Googles new shortcuts are coming to other websites and youll be able to register your own '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
36,['Lyft simplifies its subscription service with the 20amonth Lyft Pink  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
37,['Amazon Echo 2019 review middle child syndrome  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
38,['Update Elon Musk appears to have donated the 1 million according to the TeamTrees leaderboard '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
39,['Hellblade studio launches a new venture to explore mental health through games  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
40,['HBO announces new Game of Thrones spinoff House of the Dragon  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
41,['Toothbrush startup Quip is launching a 20 floss dispenser  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
42,['HBO Max launches in May 2020 for 1499 a month  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
43,['HBO Max event Rick and Morty Green Lantern and all the TV announcements  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
44,['Elon Musk says he will donate 1 million to plant trees after testifying that hes cashpoor  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
45,['A summit in Egypt will decide the future of 5G and weather forecasts  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
46,['Apple AirPods Pro handson the noise cancellation really works  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
47,['Walmarts early Black Friday deals have begun  here are the ones you need to know about  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
48,['Xbox One testers can now stream any game to an Android phone  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
49,['RT  LGs G8X ThinQ is coming to ATampT on November 1st  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
50,['Samsung unveils new foldable compact phone concept '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
51,['Call of Dutys citybased league kicks off in January  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
52,['Samsungs new Galaxy Books double as a wireless charger '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
53,['Sony is shutting down its live TV service PlayStation Vue in January 2020  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
54,['Porsche trials online sales that still require a trip to the dealer  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
55,['League of Legends new hiphop group has outfits designed by Louis Vuitton  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
56,['Razers Junglecat brings Nintendo Switchlike snapon controllers to Android  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
57,['The California fires show how unprepared we are for climate change  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
58,['Amber Baldet on what blockchain technology can do for us beyond cryptocurrency  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
59,['LGs G8X ThinQ is coming to ATampT on November 1st  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
60,['How to enable LTE cellular service on your Apple Watch  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
61,['Fortnites new island has already changed just in time for Halloween  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
62,['RT   also if any teens are still wondering why bernie joined twitch i have the answer '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
63,['EA games are returning to Steam along with the EA Access subscription service  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
64,['Netflix wants to let people watch things at twice the speed but Hollywood is pushing back  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
65,['Googles new shortcuts are coming to other websites and youll be able to register your own '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
66,['Lyft simplifies its subscription service with the 20amonth Lyft Pink  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
67,['Amazon Echo 2019 review middle child syndrome  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
68,['Hellblade studio launches a new venture to explore mental health through games  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
69,['Toothbrush startup Quip is launching a 20 floss dispenser  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
70,['Venmos debit card now gives you 5 percent cash back at Target Sephora and Wendys  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
71,['WhatsApp fixes the notification badge on muted iOS chats  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
72,['Facebooks new Preventive Health tool pushes people to advocate for their health  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
73,['Why wont Tim Cook pose with his own AirPods  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
74,['Uber unveils a new look for its food delivery drones  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
75,['How to connect your Fitbit app to your Apple Watch '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
76,['iOS 132 is now available to be compatible with Apples new AirPods Pro  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
77,['ATampT boss calls out Netflix and Disney ahead of HBO Max launch  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
78,['VW predicts its standalone selfdriving unit will be the worlds bestfunded startup  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
79,['The first widely available electric Mini will start at 29900  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
80,[' the internets Korean mom ']----------,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
81,['Microsoft Surface Laptop 3 135inch review have a normal one  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
82,['Death Stranding will make its way to PC in early summer of 2020  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
83,['The iconic Motorola walkietalkie is entering the smartphone age  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
84,['Elon Musk will go to trial over pedo guy tweets judge rules  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
85,['The Air Forces secretive spy spaceplane is back on Earth after a record twoyear stay in space '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
86,['Nvidia Shield TV 2019 review totally tubular  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
87,['All the new emoji in iOS 132  ']------,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
88,['How to delete your Siri history in iOS 132  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
89,['iOS 132 finally lets you change video resolution in the camera app  if you have an iPhone 11 '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
90,['Facebooks new Preventive Health tool pushes people to advocate for their health  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
91,['Why wont Tim Cook pose with his own AirPods  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
92,['The selfhammering probe on NASAs Mars lander cant seem to actually dig into the ground  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
93,['iOS 132 reveals Apples Tilelike device could be called AirTag  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
94,['How to connect your Fitbit app to your Apple Watch '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
95,['iOS 132 is now available to be compatible with Apples new AirPods Pro  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
96,['Uber unveils a new look for its food delivery drones  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
97,['ATampT boss calls out Netflix and Disney ahead of HBO Max launch  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
98,['Breaking Apple announces AirPods Pro with noise cancellation coming October 30th  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
99,['A summit in Egypt will decide the future of 5G and weather forecasts  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
100,['Breaking Google is reportedly looking to buy Fitbit  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
101,['VW predicts its standalone selfdriving unit will be the worlds bestfunded startup  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
102,['RT  Price goodFeatures goodRange wellllllll'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
103,['The first widely available electric Mini will start at 29900  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
104,[' the internets Korean mom ']----------,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
