,0,neg,neu,pos
0,['Samsung brings QLED to the midrange  our handson Samsung Galaxy Book Ion review  '],0,1,0
1,['We saw it today  Samsung is teasing a Galaxy Home Mini before launching the actual Galaxy Home '],0.075,0.925,0
2,['Samsungs flagship laptops go QLED  our handson Samsung Galaxy Book Flex review  '],0,0.896,0.104
3,['Samsungs clamshell foldable design is the future of the Galaxy Fold  '],0,1,0
4,['Samsung introduces a fleet of Ultrabooks with the first QLED displays for laptops  '],0,1,0
5,['Is this a case of Samsung borrowing a popular idea from Apple '],0,0.781,0.219
6,['Black Friday TV sale at Walmart early access deals from Vizio Samsung amp more '],0,1,0
7,['When it comes to the Samsung Galaxy S11 weve got a list of the things wed like to see Because its never too ea '],0,0.902,0.098
8,['Samsung Sony Moto and more phones set to issue Android 10 update by end of year  '],0,1,0
9,['The LG G8X ThinQ with Dual Screen a twoscreen foldable alternative onethird the price of a Samsung Galaxy Fold '],0,1,0
10,['Samsungs Galaxy Fold finally arrives in Australia next week '],0,1,0
11,['Samsungs Galaxy Fold 2 could arrive as soon as April 2020 '],0,1,0
12,['US readers this is the cheapest Samsung laptop weve seen this year and its a real stunner '],0,1,0
13,['Samsung Galaxy Note 11 could have an inscreen camera  '],0,1,0
14,['Will the Samsung Galaxy S11 be a device designed for viewing movies '],0,1,0
15,['Samsung Galaxy S10 Lite or S11 Lite could be in the works  '],0,1,0
16,['Samsung Galaxy Note 10 Lite could be real and coming in two shades  '],0,1,0
17,['Samsung Portable SSD T5 is the games library you can fit in your pocket  ad '],0,0.857,0.143
18,['A Samsung NVMe SSD 970 EVO Plus is the right fit for todays storagehungry games  ad '],0,0.865,0.135
19,['Samsung Galaxy S11 could have some serious camera upgrades  '],0.126,0.874,0
20,['Samsung Galaxy S11 could land on February 18  '],0,1,0
21,['You can save 150 on this Samsung 4K TV and JBL soundbar bundle '],0,0.802,0.198
22,['The Wall is here you can now put Samsungs 292inch TV in your living room '],0,1,0
23,['Samsung Galaxy Home speaker will it ever be released '],0,1,0
24,['The Wall is here you can now put Samsungs 292inch TV in your living room  '],0,1,0
25,['Samsung Galaxy Watch Active 2 review  '],0,0.649,0.351
26,['Samsung Galaxy S11 camera could have a 108MP sensor as well as a powerful zoom  '],0,0.71,0.29
27,['The best smartphone right now is the Samsung Galaxy S10 Plus  '],0,0.724,0.276
28,['And the Samsung Galaxy Fold breaks again  '],0,1,0
29,['Redesigned Samsung Galaxy Fold units have totally new ways of breaking  '],0,1,0
30,['Samsung Galaxy Note 10 Lite could be in the works  '],0,1,0
31,['The refined Samsung Galaxy Fold is officially available in the US  '],0,1,0
32,['Our full Samsung Galaxy Watch Active 2 review  '],0,0.722,0.278
33,['Your Samsung Galaxy S10 is about to get better with these Note 10 features  '],0,0.828,0.172
34,['We know this will make some of you very cross but the best smartphone right now is STILL the Samsung Galaxy S10 Pl '],0,0.799,0.201
35,['How big is too big Samsung CRG9 review '],0,1,0
36,['How big is too big Samsung CRG9 review  '],0,1,0
37,['Huawei Samsung Oppo LG and OnePlus have all made 5G phones so why is Apple behind   '],0,1,0
38,['Samsung Galaxy S11 could have a key iPhone 11 camera feature  '],0,1,0
39,['The best Android tablet on the market our review of the Samsung Galaxy Tab S6  '],0,0.781,0.219
40,['Samsungs 5G 8K TV promises to make Netflix streaming faster than ever '],0,0.822,0.178
41,['RT  Shame Shame Shame Samsung  WefiesNokia  BothfiesHuawei  GroufiesApple  Slofies'],0.608,0.392,0
42,['Samsung Galaxy Tab S6 now available in the US Galaxy Watch Active 2 up for preorder  '],0,0.847,0.153
43,['Samsung Galaxy Fold preorders have been canceled just before release date  '],0,1,0
44,['The Samsung Galaxy Fold is back  but whats changed for the rerelease Our handson with the refined version '],0,1,0
45,['HDR10 finally gets the 8K treatment  but only on Samsung TVs  '],0,1,0
46,['Samsung Galaxy Fold gets a release date redo starting September 6  '],0,1,0
47,['Samsung Galaxy Fold release date is September 6 according to new leak  '],0.179,0.821,0
