,0,1
0,['Federal aid to farmers hurt by Trumps trade war has now doubled the entire cost of the 2009 auto bailout And the entire cost of Trumps farm bailout has been paid for by American businesses via tariffs China has not paid one dime of those tariffs  20191031 2358460000330'],"{'neg': 0.187, 'neu': 0.813, 'pos': 0.0, 'compound': -0.8442}"
1,['Bloombergs latest take on trade war right here pictwittercomX3bZYVAptR20191031 23583000001'],"{'neg': 0.302, 'neu': 0.698, 'pos': 0.0, 'compound': -0.5994}"
2,['ADH key DODFBIIT Interesting that the IT is yelling about trade war negotiations  20191031 23580800000'],"{'neg': 0.199, 'neu': 0.663, 'pos': 0.138, 'compound': -0.296}"
3,['Oh and how are coal and manufacturing doing I thought those industries would be revived on his 1st day How is the economy Growth at under 2 How is that trade war going Did the farmers make any gains Trump is a fraud You got had20191031 23574900000'],"{'neg': 0.146, 'neu': 0.759, 'pos': 0.095, 'compound': -0.5719}"
4,['Stocks in Asia to Drop on Trade War Economic Data Markets Wrap  23574700000'],"{'neg': 0.353, 'neu': 0.647, 'pos': 0.0, 'compound': -0.7184}"
5,['A lot of the symptoms of trade war between the US and China is created by democrats raise taxes protectionism leftism Trump does not follow this sway VOTE REPUBLICAN20191031 23553500000'],"{'neg': 0.115, 'neu': 0.826, 'pos': 0.059, 'compound': -0.4404}"
6,['NB this is why youre losing the trade war20191031 23550500000'],"{'neg': 0.224, 'neu': 0.776, 'pos': 0.0, 'compound': -0.3818}"
7,['America will lose the trade war Why Arrogance20191031 23542000000'],"{'neg': 0.485, 'neu': 0.515, 'pos': 0.0, 'compound': -0.765}"
8,['Trade War Update 3 Charts Show Why Chinas Back Is Against The Wall  20191031 23541700000'],"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.5994}"
9,[' SenJoniErnst  ChuckGrassley farm aid from Trumps trade war has cost more than double the 2009 auto bailout20191031 23524700000'],"{'neg': 0.178, 'neu': 0.822, 'pos': 0.0, 'compound': -0.5994}"
10,['Lots of fun YahooFinance on halloween2019 Talked SpecialtyFood candy business halloweentreats KaliOrehxi How climate change trade war impact candy industry  pictwittercomr2Wpblj2Ty20191031 23524600000'],"{'neg': 0.143, 'neu': 0.735, 'pos': 0.121, 'compound': -0.1531}"
11,['Oh hell Now every bit of reporting about him is gonna be FLORIDA MAN STARTS TRADE WAR FLORIDA MAN THINKS CANADA IS A STATE20191031 23522200000'],"{'neg': 0.296, 'neu': 0.704, 'pos': 0.0, 'compound': -0.8816}"
12,['Sorry but this is your partyhave you heard Your trade war is bankrupting farmers Your tax bill has destroyed the economic momentum The GDP is 19 which you said was an emergency Youre doing all the things Putin told you to do He must be very pleased with his purchase20191031 23513400000'],"{'neg': 0.203, 'neu': 0.73, 'pos': 0.067, 'compound': -0.8677}"
13,['Dont forget your trade war sir I think you know better than us Your a bussiness man a succesfull one Right20191031 23513400000'],"{'neg': 0.235, 'neu': 0.648, 'pos': 0.117, 'compound': -0.4404}"
14,['And the trade war with the word isnt20191031 23512000000'],"{'neg': 0.328, 'neu': 0.672, 'pos': 0.0, 'compound': -0.5994}"
15,['Trumps trade war has killed 300000 jobs  20191031 23504100000'],"{'neg': 0.545, 'neu': 0.455, 'pos': 0.0, 'compound': -0.8555}"
16,['trump tariffs are hurting farmers New China deal is basically a rumor There have been many of those since this easy trade war began  20191031 23494500000'],"{'neg': 0.206, 'neu': 0.688, 'pos': 0.106, 'compound': -0.4981}"
17,['Nothing but pain for American farming and manufacturing and vague promises that would only restore trade levels with China back to where they were before Trumps irresponsible trade war20191031 23492900004'],"{'neg': 0.241, 'neu': 0.608, 'pos': 0.151, 'compound': -0.5719}"
18,['Using the office of the President to enrich you and your family Stealing money from the military to build your Vanity Wall Cutting taxes for the rich and corporations Raising prices with your trade war20191031 23474100000'],"{'neg': 0.166, 'neu': 0.749, 'pos': 0.084, 'compound': -0.3612}"
19,['Big Bitcoin Bulls Dont Want BTC to Dip Below 9000 reported by    BitcoinNews BitcoinPrice BitcoinPriceCharts BitcoinWhitepaper UschinaTradeWar20191031 23470200001'],"{'neg': 0.067, 'neu': 0.933, 'pos': 0.0, 'compound': -0.0572}"
20,['Who do I blame the lack of bottlecaps this halloween Trump and the China trade war I need bottlecaps20191031 23453300000'],"{'neg': 0.364, 'neu': 0.636, 'pos': 0.0, 'compound': -0.8225}"
