,0,neg,neu,pos,compound
0,['Tweets']------------------------------,0.0,1.0,0.0,0.0
1,['Leave Pant alone implores Indias standin captain Rohit  '],0.2,0.8,0.0,-0.25
2,['AXA expects to book US31 billion gain from EQH exit  '],0.0,0.746,0.254,0.5267
3,['First case of dengue spread by sex confirmed in Spain  '],0.0,1.0,0.0,0.0
4,['Football Wenger contradicts Bayerns claim they turned him down  '],0.211,0.789,0.0,-0.34
5,['Alibaba hires more banks on up to US15 billion listing sources  '],0.0,1.0,0.0,0.0
6,['Cambodian opposition figure Sam Rainsy arrives in Malaysia  '],0.0,1.0,0.0,0.0
7,['Indonesian palm oil exec arrested over journalist killings  '],0.521,0.479,0.0,-0.8225
8,['Bangladesh evacuates 100000 as Cyclone Bulbul approaches  '],0.0,1.0,0.0,0.0
9,['Australia bushfires leave three dead at least 150 homes lost  '],0.494,0.506,0.0,-0.7783
10,['Novena crane accident MWC working with employers contractors to help Indian workers family '],0.174,0.674,0.152,-0.1027
11,['Government pumps S100 million to help train rail workers  '],0.0,0.769,0.231,0.4019
12,['Gardens by the Bay gets first Nordic theme with Poinsettia Wishes floral displays  '],0.0,0.89,0.11,0.1531
13,['Indian Supreme Court clears way for Hindu temple at disputed site  '],0.147,0.552,0.301,0.3612
14,['Alibaba hires more banks on up to US15 billion listing  sources  '],0.0,1.0,0.0,0.0
15,['Hong Kong prodemocracy lawmakers arrested as tensions soar  '],0.453,0.547,0.0,-0.7003
16,['Barty bagels Garcia as Australia level Fed Cup final  '],0.0,1.0,0.0,0.0
17,['JurongClementi Town Council gets warning from SCDF after firefighters unable to use hose reels during blaze '],0.13,0.87,0.0,-0.34
18,['Mladenovic gives France 10 lead in Fed Cup final  '],0.0,1.0,0.0,0.0
19,['Two dead at least 150 homes lost in Australia bushfires  '],0.423,0.577,0.0,-0.765
20,['Maddinson out of Pakistan tour game on mental health grounds  '],0.0,1.0,0.0,0.0
21,['RT  I made another documentary Chinas Growing Appetite airs A WEEK FROM NOW '],0.0,0.866,0.134,0.1779
22,['Moodys downgrades Britain debt outlook to negative  '],0.508,0.492,0.0,-0.7351
23,['Courteney Coxs Mr and Mrs Bing Instagram post makes fans so happy  '],0.0,0.717,0.283,0.6948
24,['Hong Kong faces 24th weekend of protest after students death  '],0.396,0.604,0.0,-0.7096
25,['NASA unveils its first electric airplane  a work in progress  '],0.0,0.763,0.237,0.4215
26,['Kanye West wants to run for president in 2024  and change his name  '],0.0,1.0,0.0,0.0
27,['Southwest and American pull 737 MAX until early March nearly a year after grounding  '],0.0,1.0,0.0,0.0
28,['Activist investor Icahn sells nearly a third of his Occidental Petroleum stake  '],0.0,1.0,0.0,0.0
29,['Bond stayed for exTwitter employee accused of spying for Saudi Arabia  '],0.167,0.833,0.0,-0.296
30,['WATCH Would you eat goats eyes ears or brain CNAs Nivell Rayda tried them in sop kaki kambing goats leg soup '],0.0,1.0,0.0,0.0
31,['Two dead at least 100 homes destroyed in Australian bushfires  '],0.455,0.545,0.0,-0.8176
32,['Singles Day is coming How to get the best deals on Taobao  '],0.0,0.741,0.259,0.6369
33,['Bloomberg files papers paving way for US presidential bid  '],0.0,1.0,0.0,0.0
34,['Facebook bars content claiming to name Trump impeachment whistleblower  '],0.0,1.0,0.0,0.0
35,['Americans spending more outofpocket on mental health than physical health  '],0.0,1.0,0.0,0.0
36,['US wants UN to take up Dalai Lama succession  '],0.0,0.833,0.167,0.2023
37,['One person found dead and 100 homes destroyed in Australian bushfires  '],0.429,0.571,0.0,-0.8176
38,['Late Prodigy singer Flints belongings sell for nearly US450000  '],0.0,1.0,0.0,0.0
39,['Existing US antitrust laws can address tech monopolies DOJ antitrust chief says  '],0.0,1.0,0.0,0.0
40,['Not the first time Kate Moss ex detained by police for buying drugs  '],0.172,0.828,0.0,-0.4019
41,['White House official says he heard US envoy push for investigation of Bidens  '],0.0,1.0,0.0,0.0
42,['Olympic champion Joseph Schooling is now a beauty maven with his own skincare line  '],0.0,0.609,0.391,0.8271
43,['De Minaur sets up final showdown with Sinner at Next Gen ATP Finals  '],0.0,1.0,0.0,0.0
44,['USOPC announces reforms in wake of Nassar sex scandal  '],0.244,0.756,0.0,-0.4404
45,['Sociedad top La Liga despite being held by lowly Leganes  '],0.156,0.703,0.141,-0.0516
46,['Amazon longtime executive Steve Kessel to step down  '],0.0,1.0,0.0,0.0
47,['Louis Vuittons Singapore ecommerce involves eco vehicles and men in suits  '],0.0,1.0,0.0,0.0
48,['IMF approves US450 million loan tranche for Pakistan  '],0.0,0.748,0.252,0.4019
49,['ExTwitter employee accused of spying for Saudi Arabia granted bond  '],0.167,0.682,0.152,-0.0516
50,['Southwest pulls 737 MAX until March nearly a year after grounding  '],0.0,1.0,0.0,0.0
51,['Football Watford finally win after sinking lacklustre Norwich 20  '],0.0,0.703,0.297,0.5859
52,['US wants to repatriate WWII soldiers remains from China  '],0.0,1.0,0.0,0.0
53,['General Dynamics wins US732 million US defense contract Pentagon  '],0.0,0.49,0.51,0.743
54,['WeWork to divest all noncore businesses  '],0.0,1.0,0.0,0.0
55,['Spirited away When Singapores opinion leaders bond over dialogue and drams  '],0.0,1.0,0.0,0.0
56,['More than vodka and schnitzel Exploring postSoviet Berlins kitschy side  '],0.0,1.0,0.0,0.0
57,['Creative Capital Jazzing up old neighbourhoods and brands with street art  '],0.0,1.0,0.0,0.0
58,['He went hungry as a teen Now Stuffd boss is feeding kids who cant afford a meal  '],0.0,1.0,0.0,0.0
59,['Brazils leftist icon Lula walks free from jail  '],0.0,0.708,0.292,0.5106
60,['Blood supplies inadequate in many countries  '],0.31,0.69,0.0,-0.4019
61,['Dreams dashed for Terengganus aspiring female gymnasts as state bars them from competitions over attire concerns '],0.0,1.0,0.0,0.0
62,['Commentary Thailand hasnt lost its lustre with travellers There are many undiscovered sights '],0.0,0.869,0.131,0.2411
63,['How much should maids be paid Half of Singaporeans say less than S600 a month new survey shows '],0.0,1.0,0.0,0.0
64,['Commentary Hard choices await any postBrexit Britain  '],0.159,0.682,0.159,0.0
65,['Teslas Musk Greenlights Einhorn taunt each other on Twitter  '],0.0,1.0,0.0,0.0
66,['Bordeaux go third with 11 draw at Nice in Ligue 1  '],0.0,0.781,0.219,0.4215
67,['Sexchange operations yield longterm mental health benefits for transgender people  '],0.0,0.794,0.206,0.3818
68,['Ben amp Jerrys is sued over happy cows claim  '],0.0,0.709,0.291,0.5719
69,['Southwest pulls Boeing Max jets until March nearly a year after grounding  '],0.0,1.0,0.0,0.0
70,['Fed sees climate change shaping economy policy  '],0.0,1.0,0.0,0.0
71,['US womens team granted class action status in equalpay lawsuit  '],0.147,0.698,0.155,0.0258
72,['Remains of five more victims of Mexican Mormon killings are buried  '],0.415,0.585,0.0,-0.796
73,['Football Chelseas Kante is more than a defensive midfielder says Lampard  '],0.0,0.879,0.121,0.0972
74,['Football Arsenals Xhaka not in right frame of mind to play Leicester says Emery  '],0.0,0.854,0.146,0.34
