,0,1
0,['Samsungs flagship laptops go QLED  our handson Samsung Galaxy Book Flex review  '],"{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0.1027}"
1,['Is this a case of Samsung borrowing a popular idea from Apple '],"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.4215}"
2,['When it comes to the Samsung Galaxy S11 weve got a list of the things wed like to see Because its never too ea '],"{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.3612}"
3,['Samsung Portable SSD T5 is the games library you can fit in your pocket  ad '],"{'neg': 0.0, 'neu': 0.857, 'pos': 0.143, 'compound': 0.3612}"
4,['A Samsung NVMe SSD 970 EVO Plus is the right fit for todays storagehungry games  ad '],"{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.3612}"
5,['You can save 150 on this Samsung 4K TV and JBL soundbar bundle '],"{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0.4939}"
6,['Samsung Galaxy Watch Active 2 review  '],"{'neg': 0.0, 'neu': 0.649, 'pos': 0.351, 'compound': 0.4019}"
7,['Samsung Galaxy S11 camera could have a 108MP sensor as well as a powerful zoom  '],"{'neg': 0.0, 'neu': 0.71, 'pos': 0.29, 'compound': 0.5994}"
8,['The best smartphone right now is the Samsung Galaxy S10 Plus  '],"{'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.6369}"
9,['Our full Samsung Galaxy Watch Active 2 review  '],"{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.4019}"
10,['Your Samsung Galaxy S10 is about to get better with these Note 10 features  '],"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4404}"
11,['We know this will make some of you very cross but the best smartphone right now is STILL the Samsung Galaxy S10 Pl '],"{'neg': 0.0, 'neu': 0.799, 'pos': 0.201, 'compound': 0.7783}"
12,['The best Android tablet on the market our review of the Samsung Galaxy Tab S6  '],"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.6369}"
13,['Samsungs 5G 8K TV promises to make Netflix streaming faster than ever '],"{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.3818}"
14,['Samsung Galaxy Tab S6 now available in the US Galaxy Watch Active 2 up for preorder  '],"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.4019}"
