,0,1
0,['Tweets']------------------------------,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,['0']-----------------------------------,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,['Why US would try to spur relations more with China  Russia You mean US will try to end tradewar by retrieving troops from NK20180929 23473000000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,['Trumps TradeWar is shrinking American workers paychecks VoteBlueToSaveAmerica BlueWave201820180929 23203100000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4,['Are SinoUS relations really comparable to the WWIera AngloGerman rivalry  economy tradewar20180929 22290000000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
5,['Trade war20180929 22135400000']-------,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6,['And realize that the product in the wagon is worthless thanks to tradewar  20180929 21122500000'],"{'neg': 0.154, 'neu': 0.691, 'pos': 0.154, 'compound': 0.0}"
7,['Which by the way is probably rising because of tRUMPs trade war20180929 21041500000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8,['China calls the US a tradebully in light of the new tariffs tradewar shipping  19450600002'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,['NAFTA talks may conclude this weekend  Trump Trudeau Canada USA Mexico China TradeWar Tariff Manufacturing Commodities Business Economy Market GoldBullion SilverBullion PreciousMetals Yuan Loonie Dollar Hedge Invest20180929 19443800000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
10,['NAFTA talks may conclude this weekend  Trump Trudeau Canada USA Mexico China TradeWar Tariff Manufacturing Commodities Business Economy Market GoldBullion SilverBullion PreciousMetals Yuan Loonie Dollar Hedge Invest20180929 19435800000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
