,0,1
0,['Trumps trade war with China making it more expensive to raise kids   via nypost20190929 23582700000'],"{'neg': 0.218, 'neu': 0.782, 'pos': 0.0, 'compound': -0.5994}"
1,['Yes then lets ask China why theyre issuing Ivanka copyrights while were in the middle of a trade war and why her merchandise was exempt from tariffs And why the Qataris gave the Kushners a loan that no other bank would provide while Jared was conducting policy in the ME20190929 23561300000'],"{'neg': 0.114, 'neu': 0.86, 'pos': 0.026, 'compound': -0.6908}"
2,['Trade war update pictwittercomN5d89bozIz20190929 23533200000'],"{'neg': 0.494, 'neu': 0.506, 'pos': 0.0, 'compound': -0.5994}"
3,['Trumps trade war with China making it more expensive to raise kids   VIXC LatestComments20190929 23521900000'],"{'neg': 0.218, 'neu': 0.782, 'pos': 0.0, 'compound': -0.5994}"
4,['This is from a Murdoch paper The cost of raising your kids is about to tick higher if it hasnt already  thanks to President Trumps trade war with China tariffs china KOLA  20190929 23513800000'],"{'neg': 0.169, 'neu': 0.831, 'pos': 0.0, 'compound': -0.7435}"
5,['Trumps trade war with China making it more expensive to raise kids  pictwittercomM597o03WUA20190929 23511500000'],"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.5994}"
6,['ettd  parenthood edition Trump the family values candidate Trumps trade war with China making it more expensive to raise kids  TheRickWilson  20190929 23510200000'],"{'neg': 0.141, 'neu': 0.761, 'pos': 0.098, 'compound': -0.296}"
7,['Friend or foe China asks state media to pick trade war battles carefully   via scmpnews20190929 23505700000'],"{'neg': 0.41, 'neu': 0.524, 'pos': 0.066, 'compound': -0.836}"
8,['Trumps Global Trade War Comes to Alabama  Bloomberg Businessweek  20190929 23505500000'],"{'neg': 0.281, 'neu': 0.719, 'pos': 0.0, 'compound': -0.5994}"
9,['Hot off the press Dronetech Terraview raises 815k Trade war economic impact bites  AsiaAI AI China India Singapore startups tradewar digitaleconomy SkillIndia20190929 23501500000'],"{'neg': 0.151, 'neu': 0.849, 'pos': 0.0, 'compound': -0.5994}"
10,['Chinas Vice com min weekend comments urges calm and rational resolution to trade war  pictwittercomSLmVMOvLqY20190929 23500400001'],"{'neg': 0.193, 'neu': 0.693, 'pos': 0.114, 'compound': -0.3818}"
11,['charliekirk11 spreading more bullshit than a soybean farmer You know the taxpayer subsidized ones because of Trumps trade war with China  20190929 23495100000'],"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.8399}"
12,['China urges calm and rational resolution to USSino trade war  23482700000'],"{'neg': 0.257, 'neu': 0.592, 'pos': 0.151, 'compound': -0.3818}"
13,['Yeah Alibaba and the trade war hasnt effected their business which is growing like crazy just the stock price has been hit20190929 23480100000'],"{'neg': 0.214, 'neu': 0.644, 'pos': 0.142, 'compound': -0.4767}"
14,['China moves to stem damage from trade war with US ahead of talks  20190929 23465200000'],"{'neg': 0.353, 'neu': 0.647, 'pos': 0.0, 'compound': -0.7964}"
15,['IHSG turun dalem nih kayaknya Trade war has evolved become financial war and today march protest Semoga ogut salah20190929 23462000000'],"{'neg': 0.366, 'neu': 0.634, 'pos': 0.0, 'compound': -0.8689}"
16,['Heres why Trump backed down from a trade war with Mexico over tomatoes pictwittercomiCUcZQK0UD20190929 234507000017'],"{'neg': 0.229, 'neu': 0.706, 'pos': 0.065, 'compound': -0.5859}"
17,['How many Billion have we lost since Trumps trade war  20190929 23411800000'],"{'neg': 0.383, 'neu': 0.617, 'pos': 0.0, 'compound': -0.7351}"
18,['Again as I stated before itd been a bit since I watched the film but regardless the plan was gonna fall through but this trade war has put it on hold20190929 23405500000'],"{'neg': 0.16, 'neu': 0.84, 'pos': 0.0, 'compound': -0.7469}"
19,['This trade war in the long run will help are childrenits long over due20190929 23402000000'],"{'neg': 0.199, 'neu': 0.663, 'pos': 0.138, 'compound': -0.296}"
