,0,1
0,['Tweets']------------------------------,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,['0']-----------------------------------,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,['Hot off the press Child Health Imprints Series A round AI driving tests in India  via revue AsiaAI AI China India Singapore healthcare tradewar robotics AIpolicy20191031 23501600001'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,['Hows the tradewar20191031 23164700000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4,['NEW Cost of Trumps Tariffs Has Hit Entirely on US Businesses  Households LINK   SmartDissent TariffsAreTaxes TradeWar TrumpIsADisgracepictwittercomtuKs9zDn4w20191031 23150600009'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
5,['Why is Human Rights Watch shifting focus from Chinese Xinjiang to Afghanistan20191031 23124400000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6,['The Economist  Spilling over via TheEconomist TradeWar tariffs GlobalTrade GlobalEconomy TradeTalks 20191031 23044500000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
7,['Whether the tradewar will be shortlived or longlasting depends on the Trump administration All the Chinese government can do is wait for the WhiteHouses next move with bated breath  Lionel Fatton WebsterGeneva ChinaUS ANUasiapacific anuchina 20191031 22440000001'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8,['Are We Moving to a PostTradeWar World  IndexIQETFs investing economy china20191031 22400500001'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,['State media indicates China is looking for a deal China business tradewar  20191031 21500800000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
10,['NZDUSD seesaws around weekly high on NFP day eyes on China Caixin PMI for now  NZDUSD TradeWar CentralBanks Macroeconomics Majors20191031 21354600001'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
11,['China establishes 29B fund to wean itself off of US semiconductors Semiconductors Huawei China USChinaTrade TradeWars TradeTalks TradeWar  20191031 21320300000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
12,['China establishes 29B fund to wean itself off of US semiconductors   tradewar20191031 21203800000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
13,['NEW Cost of Trumps Tariffs Has Hit Entirely on US Businesses  Households LINK   SmartDissent TariffsAreTaxes TradeWar TrumpIsADisgracepictwittercomDcaU6knTsZ20191031 211508000011'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
14,['Tim Cook is optimistic about the US resolving its trade war with China  pictwittercomZ1d5piy1JY20191031 21123400000'],"{'neg': 0.188, 'neu': 0.577, 'pos': 0.236, 'compound': 0.0}"
15,['ArFB SenTomCotton RepFrenchHill RepRickCrawford JohnBoozman RepWesterman Doing a bang up job there FarmBill ArkBusiness ArkansasOnline ArkDems ArkansasBlog tradewar  20191031 21045700000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
16,['Weve already moved all the products that were impacted by list one two and three Zebra Technologies CEO Anders Gustafsson told CNBC earlier this week Were now in the middle of moving our list four products out  tariffs tradewar supplychainpictwittercomVlC9mIaJLg20191031 21010300000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
