,0,1
0,['See trade war shut down etc20190130 23592600000'],"{'neg': 0.394, 'neu': 0.606, 'pos': 0.0, 'compound': -0.5994}"
1,['Which is lower than it hit last year and where all the gains from last year were wiped out by the end of the year due to your tariffs trade war with China fake caravan invasion rhetoric THIRD TrumpShutdown of the year talking about things you know not which you speak of etc20190130 23591500000'],"{'neg': 0.149, 'neu': 0.812, 'pos': 0.039, 'compound': -0.7783}"
2,['HarleyDavidson says Trumps trade war wiped away all of its profits this year  20190130 23572600000'],"{'neg': 0.197, 'neu': 0.657, 'pos': 0.146, 'compound': -0.25}"
3,['No deal China take your shit and F off US and Chinese officials try for truce in trade war at 2day meeting in Washington  20190130 23562200000'],"{'neg': 0.246, 'neu': 0.754, 'pos': 0.0, 'compound': -0.8176}"
4,['These are the GOP traitors that spent the 4th of July 2018 in the Kremlin What were they doing there Now each of their states FARMERS are in big trouble from the Trade War Only Daines can be voted out in 2020 the rest of them except Granger terms go until 2023 VoteThemOut 20190130 23561500005'],"{'neg': 0.111, 'neu': 0.889, 'pos': 0.0, 'compound': -0.765}"
5,['Signed up for my soybean money today 165 per bushel for sales lost due to the trade war20190130 23554100000'],"{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.3182}"
6,['pretty convincing statement from Venezuelan Ambassador Jorge Valero US that doesnt recognize any of the agreements made around Iran signed by various European countries that launches a trade war with China that has built a wall a criminal wall that sequesters children20190130 23543500000'],"{'neg': 0.152, 'neu': 0.748, 'pos': 0.1, 'compound': -0.5423}"
7,['Powell is right in being cautious but has flipped flopped too much and worse now appears bowing to Trump  Lost credibility  that or Trump has requested some respite to go hammer and tongs at China on trade war  hence cannot afford a more hawkish FED further puncturing markets20190130 23541900000'],"{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.928}"
8,['Seems China is not too thrilled with Trumps trade war20190130 23515900000'],"{'neg': 0.194, 'neu': 0.806, 'pos': 0.0, 'compound': -0.3412}"
9,['The two sides have just a month remaining in a 90day truce declared in December in the trade war Business 20190130 23515100002'],"{'neg': 0.17, 'neu': 0.83, 'pos': 0.0, 'compound': -0.5994}"
10,['Just ignore the fact that for the second year in a row weve had to borrow 1 trillion to service the federal deficit due to Trumps tax breaks for the wealthy And the fact that the stock gains are a net zero for the year due to his idiotic trade war20190130 23514300000'],"{'neg': 0.153, 'neu': 0.763, 'pos': 0.085, 'compound': -0.5994}"
11,['trade US China resume trade talks with a chill in the air Top US and Chinese trade officials returned to the bargaining table Wednesday working to avoid a sharp escalation in the trade war between the worlds two largest economies At the head of a 30person delegation f20190130 23482100000'],"{'neg': 0.12, 'neu': 0.845, 'pos': 0.035, 'compound': -0.6486}"
12,['Chinese Government Turns Trade War Into Ground War US energy companies may start to feel the bite of the USChina trade war in 2019 The Chinese government has taken the trade war beyond tariffs and a  pictwittercomRbLKXONSe420190130 23480200000'],"{'neg': 0.314, 'neu': 0.644, 'pos': 0.042, 'compound': -0.9382}"
13,['Protesters rush Beijing delegation as USChina trade war talks start with meeting between VP Liu He and USTR Robert Lighthizer  20190130 23454200000'],"{'neg': 0.157, 'neu': 0.843, 'pos': 0.0, 'compound': -0.5994}"
14,['If your failing Tradewar had not been started the market could be at 29000 Its still well below where it was before your stupid tariffs20190130 23430500000'],"{'neg': 0.211, 'neu': 0.723, 'pos': 0.066, 'compound': -0.6808}"
