,0,1
0,['Why do digital transformations fail  divertsfrom   raises 100M amp '],"{'neg': 0.28, 'neu': 0.72, 'pos': 0.0, 'compound': -0.5423}"
1,['Have you ever lost  on a project because some didnt get delivered the schemas changed in the source data wareh '],"{'neg': 0.108, 'neu': 0.892, 'pos': 0.0, 'compound': -0.3182}"
2,['RT  In this episode of the  AIMinute host  talks about how people fear artificial intelligence more than they'],"{'neg': 0.143, 'neu': 0.717, 'pos': 0.139, 'compound': -0.0258}"
3,['Catch up on  latest article  vs  The War Wags On  Teams has a messy footprint '],"{'neg': 0.33, 'neu': 0.67, 'pos': 0.0, 'compound': -0.7506}"
4,[' covers  a meeting avoidance tool that lets you sidestep status meetings and makes teams stay '],"{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.4019}"
5,['Do you have a bunch of work files crosslinked in a tangle of tasks  mentioned in a confusion of chat rooms or em '],"{'neg': 0.099, 'neu': 0.901, 'pos': 0.0, 'compound': -0.296}"
6,['On this episode of  guest  from  discusses explainability and bias '],"{'neg': 0.123, 'neu': 0.877, 'pos': 0.0, 'compound': -0.1027}"
7,['  on all flash arrays storage no longer being a performance differentiator '],"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.296}"
8,['Data Protection amp disaster recovery have changed with the emergence of cloud It is time to blow up previous notio '],"{'neg': 0.17, 'neu': 0.83, 'pos': 0.0, 'compound': -0.6249}"
9,['Data Protection amp disaster recovery have changed with the emergence of cloud It is time to blow up previous notio '],"{'neg': 0.17, 'neu': 0.83, 'pos': 0.0, 'compound': -0.6249}"
10,['Live Webinar 82019 1  2 pm CT Why You Need to Modernize Disaster Recovery with DRaaS led by Analyst '],"{'neg': 0.194, 'neu': 0.806, 'pos': 0.0, 'compound': -0.6249}"
11,['Data Protection amp disaster recovery have changed with the emergence of cloud It is time to blow up previous notio '],"{'neg': 0.17, 'neu': 0.83, 'pos': 0.0, 'compound': -0.6249}"
12,['Live Webinar 82019 1  2 pm CT Why You Need to Modernize Disaster Recovery with DRaaS led by Analyst '],"{'neg': 0.194, 'neu': 0.806, 'pos': 0.0, 'compound': -0.6249}"
13,['Data Protection amp disaster recovery have changed with the emergence of cloud It is time to blow up previous notio '],"{'neg': 0.17, 'neu': 0.83, 'pos': 0.0, 'compound': -0.6249}"
14,['Live Webinar 82019 1  2 pm CT Why You Need to Modernize Disaster Recovery with DRaaS led by Analyst '],"{'neg': 0.194, 'neu': 0.806, 'pos': 0.0, 'compound': -0.6249}"
15,['Data Protection amp disaster recovery have changed with the emergence of cloud It is time to blow up previous notio '],"{'neg': 0.17, 'neu': 0.83, 'pos': 0.0, 'compound': -0.6249}"
