Unnamed: 0,0,neg,neu,pos,net,netconclude
0,['RBS pulls Samsung Galaxy S10 app over security flaw '],0,0.789,0.211,0.211,Positive
1,['Any fingerprint unlocks Galaxy S10 Samsung warns '],0.167,0.833,0,-0.167,Negative
2,['Samsung Galaxy Fold UK launch date revealed '],0,1,0,0,Neutral
3,['Galaxy Note 10 Samsung hopes to strike the right Note '],0.113,0.677,0.211,0.098,Positive
4,['RT  Samsung says the Galaxy Fold will go on sale in September after faulty screens delayed the launch '],0.198,0.802,0,-0.198,Negative
5,['Samsung sued over waterresistant phone claims '],0,1,0,0,Neutral
6,['Samsung TVs should be regularly viruschecked the company says '],0,1,0,0,Neutral
7,['Samsung unveils TV that can switch to vertical mode '],0,1,0,0,Neutral
8,['Samsung Galaxy Fold launch events delayed in China '],0.192,0.808,0,-0.192,Negative
9,['Samsungs folding phone breaks for reviewers '],0,1,0,0,Neutral
10,['RT  Heres my first handson with the Samsung Galaxy Fold GalaxyFold '],0,1,0,0,Neutral
11,['RT  Our folding phone is bigger and better than Samsungs says Huawei '],0,0.805,0.195,0.195,Positive
12,['Samsung on whether you can end calls on the GalaxyFold by snapping it shut like the old flip phones '],0,0.884,0.116,0.116,Positive
13,['RT  Important can I answer calls with the phone unfolded and then hang up by snapping it shut   Samsung'],0,0.904,0.096,0.096,Positive
14,['Samsung Galaxy Fold The internet reacts '],0,1,0,0,Neutral
15,['Samsung reveals Galaxy Fold and S10 5G '],0,1,0,0,Neutral
16,['CES 2019 Samsung adds rival Apples iTunes to smart TVs '],0,0.787,0.213,0.213,Positive
17,['RT  Samsung has revealed a 75in 190cm television made of modular panels you can rearrange  CES2019 '],0,1,0,0,Neutral
18,['Huawei Honor View20 and Samsung A8s have holepunch cameras '],0,0.738,0.262,0.262,Positive
19,['Samsung Nigeria tweets update using Apple iPhone '],0,1,0,0,Neutral
20,['Samsung apologises to sick factory workers '],0.327,0.495,0.178,-0.149,Negative
21,['RT  After 5 years of talking about folding devices Samsung unveiled theirs at SDC18 '],0,1,0,0,Neutral
22,['Samsung agrees to payouts after worker deaths '],0,0.795,0.205,0.205,Positive
23,['Apple and Samsung fined by Italian authorities over slow phones '],0,1,0,0,Neutral
24,['Samsung Time for folding smartphones '],0,1,0,0,Neutral
25,['Samsung Galaxy Note 9 warns of wonky photos '],0.167,0.833,0,-0.167,Negative
26,['Why is Samsungs Galaxy S9 flagship struggling '],0.275,0.588,0.137,-0.138,Negative
27,['Samsung wont be forced to update old phones '],0,0.763,0.237,0.237,Positive
28,['Apple awarded 539m in US patent case against Samsung '],0,0.769,0.231,0.231,Positive
29,['AppleSamsung patent battle revived in California court '],0.271,0.729,0,-0.271,Negative
30,['Samsung Galaxy S9 gets super slowmo and AR emojis '],0,0.698,0.302,0.302,Positive
31,['Samsung Galaxy S9 focuses on the camera '],0,1,0,0,Neutral
32,['Samsung Galaxy S9 smartphone images leaked by MWC app '],0.204,0.796,0,-0.204,Negative
33,['Guardians of the Galaxy Vol 2 Visual effects revealed '],0,1,0,0,Neutral
34,['Samsung One UI 2 Gets an Official Reveal With Smarter Dark Mode More'],0,0.786,0.214,0.214,Positive
35,['Samsung Unveils Another Smart Speaker That May Never Launch'],0,0.748,0.252,0.252,Positive
36,['Samsung Showcases Foldable Phone Concept With Clamshell Design'],0,1,0,0,Neutral
37,['Pixel 4 XL Teardown Reveals Samsung Display Almost Decent Repairability Score'],0,1,0,0,Neutral
38,['Samsung Issues Statement on Fingerprint Vulnerability Software Update is Coming'],0.174,0.826,0,-0.174,Negative
39,['Samsung Galaxy S10 owners any luck enrolling in the Android 10One UI 20 beta yet The Samsung Members app appears to be having issues'],0,0.885,0.115,0.115,Positive
40,['Samsung One UI Beta for Android 10 Arrives Today in US on Galaxy S10 Line'],0,1,0,0,Neutral
41,['DEAL Samsung Offers 500 Off Galaxy Note 10 With Select TradeIn Throwing in Free 200 Credit or Wearable Bundle '],0,0.753,0.247,0.247,Positive
42,['Samsung confirms Unlocked ATampT and TMobile Galaxy S10 S10 and S10e models will have first dibs at the Android '],0,1,0,0,Neutral
43,['Samsung Confirms One UI 20 Coming Soon to Galaxy S10 Lineup'],0,1,0,0,Neutral
44,['Samsung Pay Gets International Money Transfers'],0.219,0.781,0,-0.219,Negative
45,['Lets unbox Samsungs 1980 Galaxy Fold galaxyfold '],0,1,0,0,Neutral
46,['Report Samsung Launching Android 10 Beta Next Month'],0,1,0,0,Neutral
47,['Samsung Says Hundreds of Apps Now Optimized for Galaxy Fold galaxyfold '],0,0.786,0.214,0.214,Positive
48,['  what are the samsung issues as for iphone vs p4 we wont have any good idea until next m '],0.112,0.888,0,-0.112,Negative
49,['Samsung Finally Cancels Original Galaxy Fold PreOrders Offers 250 Credit galaxyfold '],0.12,0.57,0.31,0.19,Positive
50,['Samsungs Galaxy Fold is Back Available for Purchase This Month galaxyfold '],0,1,0,0,Neutral
51,['Discord Integration Arrives for Samsungs Game Launcher App'],0,1,0,0,Neutral
52,['Samsung Galaxy Note 10 Review It Doesnt Get Much Better Than This'],0.179,0.821,0,-0.179,Negative
53,['Samsung still offering 600 off Galaxy Note 10 purchases with eligible tradeins '],0,1,0,0,Neutral
54,['Samsung Keeps Note 10s 600Off Trade Deal Alive Adds 4 Months Free YouTube Premium GalaxyNote10 '],0,0.688,0.312,0.312,Positive
55,['Windows and Mac apps for Samsungs DeX arrive '],0,1,0,0,Neutral
56,['If you own a Samsung Galaxy phone on Verizon youre likely getting the August patch right now'],0,1,0,0,Neutral
57,['Windows and Mac Apps for Samsungs DeX are Live '],0,1,0,0,Neutral
58,['Video Appears to Show Off Samsungs One UI 20 Running Atop Android 10'],0,1,0,0,Neutral
59,['Samsung is so weird sometimes']-------,0.359,0.641,0,-0.359,Negative
60,['Samsung Wins Today With Their Green Bubble GIFs'],0,0.654,0.346,0.346,Positive
61,['Samsung Said to be Readying Graphene Batteries Capable of Insanely Fast Charge Times'],0,0.822,0.178,0.178,Positive
62,['Samsung Still Cutting 600 Off Note 10 With Select TradeIns Ups Galaxy S9 Value to 350 galaxynote10 '],0.075,0.804,0.121,0.046,Positive
63,['Samsungs Galaxy Home smart speaker is still in development a year after being announced '],0,0.828,0.172,0.172,Positive
64,['Samsung Still Working to Refine and Enhance BixbyPowered Galaxy Home Speaker'],0,1,0,0,Neutral
65,['Samsung Galaxy Note 10 and Note 10 Official PreOrders Start Tomorrow for 949'],0,1,0,0,Neutral
66,['Samsung Galaxy Note 10 Galaxy Note 10 Specs Official galaxynote10 '],0,1,0,0,Neutral
67,['Samsungs Galaxy Watch Active 2 is now official launches next month '],0,0.787,0.213,0.213,Positive
68,['Samsung Galaxy Watch Active 2 Official Priced Starting at 279 With PreOrders in September'],0,0.816,0.184,0.184,Positive
69,['Samsung is watering down the Note line with the Galaxy Note 10'],0,1,0,0,Neutral
70,['Samsung is Watering Down the Note Line for No Good Reason'],0.156,0.638,0.206,0.05,Positive
71,['Samsung has a new 650 tablet for those interested in Android tablets'],0,0.787,0.213,0.213,Positive
72,['Samsungs Galaxy Tab S6 is a 649 Tablet in a World Without Many Android Tablets'],0,1,0,0,Neutral
73,['Samsung to Announce Galaxy Tab S6 Watch Active 2 Prior to Note 10 Event'],0,0.816,0.184,0.184,Positive
74,['Samsung offers upto 600 off Note 10 with specific trades '],0,1,0,0,Neutral
75,['Official Samsungs Galaxy Fold is ReLaunching in September galaxyfold '],0,1,0,0,Neutral
76,['Samsungs Galaxy Watch Active Gets a Big Ol Update'],0,0.722,0.278,0.278,Positive
77,[' nothing is confirmed samsung hasnt yet announced if the phone will indeed feature a battery '],0,1,0,0,Neutral
78,[' the 12GB packages combining eight of the 12Gb chips arent yet in mass production Samsung says later t '],0,1,0,0,Neutral
79,['Samsung Readying 12Gb LPDDR5 Mobile DRAM for Galaxy Note 10'],0,1,0,0,Neutral
80,['Pujie Black Available for Samsung Galaxy Wearables'],0,1,0,0,Neutral
81,['Samsungs Galaxy Fold was pushed out too early guys galaxyfold '],0,1,0,0,Neutral
82,['Samsung is offering really solid tradein values for older phones like 350 for the Galaxy S8'],0,0.639,0.361,0.361,Positive
83,['This Might Shock You but the Samsung Galaxy Fold was Rushed galaxyfold '],0.13,0.87,0,-0.13,Negative
84,['DEAL Samsung Goes Wild With Trades Toward Galaxy S10 350Off for a Galaxy S8 galaxys10 '],0,1,0,0,Neutral
85,['Verizon TMobile Samsung and LG Devices Getting Security Patches'],0,0.769,0.231,0.231,Positive
86,['Samsung irons out most Galaxy Fold issues is ready to release it to market '],0,0.848,0.152,0.152,Positive
87,['Samsung Most Galaxy Fold Display Issues Ironed Out Ready for Launch'],0,0.8,0.2,0.2,Positive
88,['DEAL Samsung Galaxy Buds are 9999 at Verizon 30 Off'],0,1,0,0,Neutral
89,['Samsung Galaxy Fit Activity Tracker Now Available for 99'],0,0.762,0.238,0.238,Positive
90,['Samsung celebrates 10th anniversary of Galaxy with deals and promos '],0,0.73,0.27,0.27,Positive
91,['Samsung Galaxy Home Launch Still Happening Scheduled for Q3'],0,1,0,0,Neutral
92,['Today is Galaxy Day MonthLong Celebration With Deals and Promos From Samsung'],0,1,0,0,Neutral
93,['Samsung has plans for 100W USBC chargers '],0,1,0,0,Neutral
94,['Samsung has Plans for 100W USBC Chargers'],0,1,0,0,Neutral
95,['Samsung Loves Its Hole Punches Shares Free DisneyPixar Wallpapers for Galaxy S10 galaxys10 '],0,0.545,0.455,0.455,Positive
96,['DEAL Samsungs Fast Wireless Charger is 50 Off Down to 1499'],0,1,0,0,Neutral
97,['With Still No Word From Samsung Best Buy Cancels All Galaxy Fold PreOrders'],0.224,0.546,0.23,0.006,Positive
98,['We Hope Samsungs New 5x Optical Zoom Lens Ships With the Galaxy Note 10'],0,0.818,0.182,0.182,Positive
99,['One UI update rolling out to Samsungs wearable lineup starting this week '],0,1,0,0,Neutral
100,['Samsung Announces One UI for Wearable Lineup Highlights Better Battery and Cleaner UI'],0,0.705,0.295,0.295,Positive
101,['Upcoming Phone Designs From OPPO Samsung and Huawei Might Get Weird'],0,1,0,0,Neutral
102,['Samsung ups its tradein offer to 400 off a Galaxy S10 '],0,1,0,0,Neutral
103,['Samsung Galaxy Fold supposedly ready to make a comeback '],0,0.762,0.238,0.238,Positive
104,['DEAL Samsung Ups Tradein Offer to 400 Off Galaxy S10 galaxys10 '],0,1,0,0,Neutral
105,['Samsungs Galaxy Fold is Ready to Return galaxyfold '],0,0.762,0.238,0.238,Positive
106,['Samsung is Still Trying to Fix the Galaxy Fold Asks if People Want to Keep PreOrders galaxyfold '],0,0.929,0.071,0.071,Positive
107,['DEAL Samsung Gear S3 Frontier Drops to 109 With 90 Discount'],0,1,0,0,Neutral
108,['Samsung Pay support comes to Simple Bank '],0.139,0.594,0.267,0.128,Positive
109,['Simple Bank Finally Finally Adds Support for Samsung Pay'],0,0.748,0.252,0.252,Positive
110,['DEAL Samsung Will Still Give You 200 Off the Galaxy S10 for Trading in Any Smartphone galaxys10 '],0,1,0,0,Neutral
111,['Samsungs Galaxy View 2 looks pretty good when compared to the original '],0,0.517,0.483,0.483,Positive
112,['Samsung officially delays launch of the Galaxy Fold '],0,1,0,0,Neutral
113,['Samsung Galaxy View 2 Looks Way Better Than the Original'],0,0.734,0.266,0.266,Positive
114,['Samsung confirms Galaxy Fold delay as it investigates and runs internal tests '],0.161,0.839,0,-0.161,Negative
115,['Samsung Might Have Delayed the Galaxy Fold galaxyfold '],0.192,0.808,0,-0.192,Negative
116,['DEAL Samsung Offering Instant 300 Off Galaxy S10 With Trade galaxys10 '],0,1,0,0,Neutral
117,['Samsung Spins Bright Night Camera Feature Into Standalone Mode'],0,0.734,0.266,0.266,Positive
118,['Samsung Quickly Sold Out of the 2000 Galaxy Fold galaxyfold '],0,1,0,0,Neutral
119,['Samsungs Galaxy Fold has support for all major US carrier bands '],0,0.803,0.197,0.197,Positive
120,['Samsungs Galaxy Fold has Support for All Major US Carriers Bands galaxyfold '],0,0.816,0.184,0.184,Positive
121,['How has your experience been with Samsungs tradein program '],0,1,0,0,Neutral
122,['Hows Your Experience Been With Samsungs TradeIn Program galaxys10 '],0,1,0,0,Neutral
123,['Invitations to purchase Samsungs 1980 Galaxy Fold apparently roll out tomorrow '],0,1,0,0,Neutral
124,['Samsung Says You Should SignUp Today to be First in Line to Purchase Galaxy Fold galaxyfold '],0,1,0,0,Neutral
125,['Samsung Galaxy A80 Trades Notches and Cutouts for PopUp Flippy Camera'],0,1,0,0,Neutral
126,['DEAL Need More Storage Get a Samsung 128GB MicroSD for 20'],0,1,0,0,Neutral
127,['DEAL Samsung Will Give You 200 TradeIn Value Towards Galaxy S10 for Any Android Device Even If Its Cracked'],0,0.882,0.118,0.118,Positive
128,['Samsung shows the Galaxy Fold can fold a lot of times '],0,1,0,0,Neutral
129,['Samsungs 550 Off TradeIn Galaxy S10 Deal is Still Live Plus BOGO ATampT and Verizon galaxys10 '],0,1,0,0,Neutral
