Unnamed: 0,0,neg,neu,pos,net,netconclude
1,['RBS pulls Samsung Galaxy S10 app over security flaw '],0.0,0.789,0.21100000000000002,0.21100000000000002,Positive
2,['Any fingerprint unlocks Galaxy S10 Samsung warns '],0.16699999999999998,0.833,0.0,-0.16699999999999998,Negative
3,['Samsung Galaxy Fold UK launch date revealed '],0.0,1.0,0.0,0.0,Neutral
4,['Galaxy Note 10 Samsung hopes to strike the right Note '],0.113,0.677,0.21100000000000002,0.098,Positive
5,['RT  Samsung says the Galaxy Fold will go on sale in September after faulty screens delayed the launch '],0.198,0.802,0.0,-0.198,Negative
6,['Samsung sued over waterresistant phone claims '],0.0,1.0,0.0,0.0,Neutral
7,['Samsung TVs should be regularly viruschecked the company says '],0.0,1.0,0.0,0.0,Neutral
8,['Samsung unveils TV that can switch to vertical mode '],0.0,1.0,0.0,0.0,Neutral
9,['Samsung Galaxy Fold launch events delayed in China '],0.192,0.8079999999999999,0.0,-0.192,Negative
10,['Samsungs folding phone breaks for reviewers '],0.0,1.0,0.0,0.0,Neutral
11,['RT  Heres my first handson with the Samsung Galaxy Fold GalaxyFold '],0.0,1.0,0.0,0.0,Neutral
12,['RT  Our folding phone is bigger and better than Samsungs says Huawei '],0.0,0.805,0.195,0.195,Positive
13,['Samsung on whether you can end calls on the GalaxyFold by snapping it shut like the old flip phones '],0.0,0.884,0.11599999999999999,0.11599999999999999,Positive
14,['RT  Important can I answer calls with the phone unfolded and then hang up by snapping it shut   Samsung'],0.0,0.904,0.096,0.096,Positive
15,['Samsung Galaxy Fold The internet reacts '],0.0,1.0,0.0,0.0,Neutral
16,['Samsung reveals Galaxy Fold and S10 5G '],0.0,1.0,0.0,0.0,Neutral
17,['CES 2019 Samsung adds rival Apples iTunes to smart TVs '],0.0,0.787,0.213,0.213,Positive
18,['RT  Samsung has revealed a 75in 190cm television made of modular panels you can rearrange  CES2019 '],0.0,1.0,0.0,0.0,Neutral
19,['Huawei Honor View20 and Samsung A8s have holepunch cameras '],0.0,0.738,0.262,0.262,Positive
20,['Samsung Nigeria tweets update using Apple iPhone '],0.0,1.0,0.0,0.0,Neutral
21,['Samsung apologises to sick factory workers '],0.327,0.495,0.17800000000000002,-0.14900000000000002,Negative
22,['RT  After 5 years of talking about folding devices Samsung unveiled theirs at SDC18 '],0.0,1.0,0.0,0.0,Neutral
23,['Samsung agrees to payouts after worker deaths '],0.0,0.795,0.205,0.205,Positive
24,['Apple and Samsung fined by Italian authorities over slow phones '],0.0,1.0,0.0,0.0,Neutral
25,['Samsung Time for folding smartphones '],0.0,1.0,0.0,0.0,Neutral
26,['Samsung Galaxy Note 9 warns of wonky photos '],0.16699999999999998,0.833,0.0,-0.16699999999999998,Negative
27,['Why is Samsungs Galaxy S9 flagship struggling '],0.275,0.588,0.13699999999999998,-0.138,Negative
28,['Samsung wont be forced to update old phones '],0.0,0.763,0.237,0.237,Positive
29,['Apple awarded 539m in US patent case against Samsung '],0.0,0.769,0.231,0.231,Positive
30,['AppleSamsung patent battle revived in California court '],0.271,0.7290000000000001,0.0,-0.271,Negative
31,['Samsung Galaxy S9 gets super slowmo and AR emojis '],0.0,0.698,0.302,0.302,Positive
32,['Samsung Galaxy S9 focuses on the camera '],0.0,1.0,0.0,0.0,Neutral
33,['Samsung Galaxy S9 smartphone images leaked by MWC app '],0.204,0.7959999999999999,0.0,-0.204,Negative
34,['Guardians of the Galaxy Vol 2 Visual effects revealed '],0.0,1.0,0.0,0.0,Neutral
1,['Samsung One UI 2 Gets an Official Reveal With Smarter Dark Mode More'],0.0,0.7859999999999999,0.214,0.214,Positive
2,['Samsung Unveils Another Smart Speaker That May Never Launch'],0.0,0.748,0.252,0.252,Positive
3,['Samsung Showcases Foldable Phone Concept With Clamshell Design'],0.0,1.0,0.0,0.0,Neutral
4,['Pixel 4 XL Teardown Reveals Samsung Display Almost Decent Repairability Score'],0.0,1.0,0.0,0.0,Neutral
5,['Samsung Issues Statement on Fingerprint Vulnerability Software Update is Coming'],0.174,0.826,0.0,-0.174,Negative
6,['Samsung Galaxy S10 owners any luck enrolling in the Android 10One UI 20 beta yet The Samsung Members app appears to be having issues'],0.0,0.885,0.115,0.115,Positive
7,['Samsung One UI Beta for Android 10 Arrives Today in US on Galaxy S10 Line'],0.0,1.0,0.0,0.0,Neutral
8,['DEAL Samsung Offers 500 Off Galaxy Note 10 With Select TradeIn Throwing in Free 200 Credit or Wearable Bundle '],0.0,0.753,0.247,0.247,Positive
9,['Samsung confirms Unlocked ATampT and TMobile Galaxy S10 S10 and S10e models will have first dibs at the Android '],0.0,1.0,0.0,0.0,Neutral
10,['Samsung Confirms One UI 20 Coming Soon to Galaxy S10 Lineup'],0.0,1.0,0.0,0.0,Neutral
11,['Samsung Pay Gets International Money Transfers'],0.21899999999999997,0.7809999999999999,0.0,-0.21899999999999997,Negative
12,['Lets unbox Samsungs 1980 Galaxy Fold galaxyfold '],0.0,1.0,0.0,0.0,Neutral
13,['Report Samsung Launching Android 10 Beta Next Month'],0.0,1.0,0.0,0.0,Neutral
14,['Samsung Says Hundreds of Apps Now Optimized for Galaxy Fold galaxyfold '],0.0,0.7859999999999999,0.214,0.214,Positive
15,['  what are the samsung issues as for iphone vs p4 we wont have any good idea until next m '],0.11199999999999999,0.888,0.0,-0.11199999999999999,Negative
16,['Samsung Finally Cancels Original Galaxy Fold PreOrders Offers 250 Credit galaxyfold '],0.12,0.57,0.31,0.19,Positive
17,['Samsungs Galaxy Fold is Back Available for Purchase This Month galaxyfold '],0.0,1.0,0.0,0.0,Neutral
18,['Discord Integration Arrives for Samsungs Game Launcher App'],0.0,1.0,0.0,0.0,Neutral
19,['Samsung Galaxy Note 10 Review It Doesnt Get Much Better Than This'],0.179,0.821,0.0,-0.179,Negative
20,['Samsung still offering 600 off Galaxy Note 10 purchases with eligible tradeins '],0.0,1.0,0.0,0.0,Neutral
21,['Samsung Keeps Note 10s 600Off Trade Deal Alive Adds 4 Months Free YouTube Premium GalaxyNote10 '],0.0,0.688,0.312,0.312,Positive
22,['Windows and Mac apps for Samsungs DeX arrive '],0.0,1.0,0.0,0.0,Neutral
23,['If you own a Samsung Galaxy phone on Verizon youre likely getting the August patch right now'],0.0,1.0,0.0,0.0,Neutral
24,['Windows and Mac Apps for Samsungs DeX are Live '],0.0,1.0,0.0,0.0,Neutral
25,['Video Appears to Show Off Samsungs One UI 20 Running Atop Android 10'],0.0,1.0,0.0,0.0,Neutral
26,['Samsung is so weird sometimes']-------,0.359,0.6409999999999999,0.0,-0.359,Negative
27,['Samsung Wins Today With Their Green Bubble GIFs'],0.0,0.654,0.34600000000000003,0.34600000000000003,Positive
28,['Samsung Said to be Readying Graphene Batteries Capable of Insanely Fast Charge Times'],0.0,0.8220000000000001,0.17800000000000002,0.17800000000000002,Positive
29,['Samsung Still Cutting 600 Off Note 10 With Select TradeIns Ups Galaxy S9 Value to 350 galaxynote10 '],0.075,0.804,0.121,0.046,Positive
30,['Samsungs Galaxy Home smart speaker is still in development a year after being announced '],0.0,0.828,0.172,0.172,Positive
31,['Samsung Still Working to Refine and Enhance BixbyPowered Galaxy Home Speaker'],0.0,1.0,0.0,0.0,Neutral
32,['Samsung Galaxy Note 10 and Note 10 Official PreOrders Start Tomorrow for 949'],0.0,1.0,0.0,0.0,Neutral
33,['Samsung Galaxy Note 10 Galaxy Note 10 Specs Official galaxynote10 '],0.0,1.0,0.0,0.0,Neutral
34,['Samsungs Galaxy Watch Active 2 is now official launches next month '],0.0,0.787,0.213,0.213,Positive
35,['Samsung Galaxy Watch Active 2 Official Priced Starting at 279 With PreOrders in September'],0.0,0.816,0.184,0.184,Positive
36,['Samsung is watering down the Note line with the Galaxy Note 10'],0.0,1.0,0.0,0.0,Neutral
37,['Samsung is Watering Down the Note Line for No Good Reason'],0.156,0.638,0.20600000000000002,0.04999999999999999,Positive
38,['Samsung has a new 650 tablet for those interested in Android tablets'],0.0,0.787,0.213,0.213,Positive
39,['Samsungs Galaxy Tab S6 is a 649 Tablet in a World Without Many Android Tablets'],0.0,1.0,0.0,0.0,Neutral
40,['Samsung to Announce Galaxy Tab S6 Watch Active 2 Prior to Note 10 Event'],0.0,0.816,0.184,0.184,Positive
41,['Samsung offers upto 600 off Note 10 with specific trades '],0.0,1.0,0.0,0.0,Neutral
42,['Official Samsungs Galaxy Fold is ReLaunching in September galaxyfold '],0.0,1.0,0.0,0.0,Neutral
43,['Samsungs Galaxy Watch Active Gets a Big Ol Update'],0.0,0.722,0.278,0.278,Positive
44,[' nothing is confirmed samsung hasnt yet announced if the phone will indeed feature a battery '],0.0,1.0,0.0,0.0,Neutral
45,[' the 12GB packages combining eight of the 12Gb chips arent yet in mass production Samsung says later t '],0.0,1.0,0.0,0.0,Neutral
46,['Samsung Readying 12Gb LPDDR5 Mobile DRAM for Galaxy Note 10'],0.0,1.0,0.0,0.0,Neutral
47,['Pujie Black Available for Samsung Galaxy Wearables'],0.0,1.0,0.0,0.0,Neutral
48,['Samsungs Galaxy Fold was pushed out too early guys galaxyfold '],0.0,1.0,0.0,0.0,Neutral
49,['Samsung is offering really solid tradein values for older phones like 350 for the Galaxy S8'],0.0,0.639,0.361,0.361,Positive
50,['This Might Shock You but the Samsung Galaxy Fold was Rushed galaxyfold '],0.13,0.87,0.0,-0.13,Negative
51,['DEAL Samsung Goes Wild With Trades Toward Galaxy S10 350Off for a Galaxy S8 galaxys10 '],0.0,1.0,0.0,0.0,Neutral
52,['Verizon TMobile Samsung and LG Devices Getting Security Patches'],0.0,0.769,0.231,0.231,Positive
53,['Samsung irons out most Galaxy Fold issues is ready to release it to market '],0.0,0.848,0.152,0.152,Positive
54,['Samsung Most Galaxy Fold Display Issues Ironed Out Ready for Launch'],0.0,0.8,0.2,0.2,Positive
55,['DEAL Samsung Galaxy Buds are 9999 at Verizon 30 Off'],0.0,1.0,0.0,0.0,Neutral
56,['Samsung Galaxy Fit Activity Tracker Now Available for 99'],0.0,0.762,0.23800000000000002,0.23800000000000002,Positive
57,['Samsung celebrates 10th anniversary of Galaxy with deals and promos '],0.0,0.73,0.27,0.27,Positive
58,['Samsung Galaxy Home Launch Still Happening Scheduled for Q3'],0.0,1.0,0.0,0.0,Neutral
59,['Today is Galaxy Day MonthLong Celebration With Deals and Promos From Samsung'],0.0,1.0,0.0,0.0,Neutral
60,['Samsung has plans for 100W USBC chargers '],0.0,1.0,0.0,0.0,Neutral
61,['Samsung has Plans for 100W USBC Chargers'],0.0,1.0,0.0,0.0,Neutral
62,['Samsung Loves Its Hole Punches Shares Free DisneyPixar Wallpapers for Galaxy S10 galaxys10 '],0.0,0.545,0.455,0.455,Positive
63,['DEAL Samsungs Fast Wireless Charger is 50 Off Down to 1499'],0.0,1.0,0.0,0.0,Neutral
64,['With Still No Word From Samsung Best Buy Cancels All Galaxy Fold PreOrders'],0.22399999999999998,0.546,0.23,0.0060000000000000045,Positive
65,['We Hope Samsungs New 5x Optical Zoom Lens Ships With the Galaxy Note 10'],0.0,0.818,0.182,0.182,Positive
66,['One UI update rolling out to Samsungs wearable lineup starting this week '],0.0,1.0,0.0,0.0,Neutral
67,['Samsung Announces One UI for Wearable Lineup Highlights Better Battery and Cleaner UI'],0.0,0.705,0.295,0.295,Positive
68,['Upcoming Phone Designs From OPPO Samsung and Huawei Might Get Weird'],0.0,1.0,0.0,0.0,Neutral
