,0,1
0,['Tweets']------------------------------,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,['  MissionPaani  JalShakti4JanShakti  IndiaJalBachao '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,['Complex regulations and the search for a local partner have for years hampered  efforts to bring the Swi '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,['   MissionPaani  JalShakti4JanShakti  IndiaJalBachao '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4,[' will reportedly launch the new 16inch MacBookPro with the scissorsswitch keyboard in June next year'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
5,['  Fornite returns with its Halloween themed Fortnitemares which comes with a communitymade game call '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6,[' has rolled out new v219110 for iOS users which brings updates to notification badges for muted chats '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
7,[' is going to send a rover VIPER to the south pole of the moon to sample water ice It is expected to travel '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8,[' to launch a new streaming service called  with a subscription cost of just 15 per month'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,['Last year online video streaming produced carbon emissions equivalent to the size of Spain The amount may double '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
10,[' sues Israeli cyber surveillance firm NSO Group for using the app to spy on 1400 users in 20 countries '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
11,['Dark theme on  is yet to arrive on  9 Pie Its currently available on Android 10 and iOS 11 onwards'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
12,['And its official  is making a comeback to  and it will also introduce its EA Access subscription s '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
13,['Here are some pictures of the newly announced    GTX 1660 Gaming OC 6 GB gr '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
14,[' MissionPaani  JalShakti4JanShakti  IndiaJalBachao '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
15,['Space does not have any international law governing it and anyone from nations to universities can launch a spacecr '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
16,['Teen climate activist  now has beetle named after her  Nelloptodes gretae'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
17,['According to new guidelines from the IRDAI insurance policies will now provide cover for mental health menopause '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
18,[' MissionPaani JalShakti4JanShakti IndiaJalBachao '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
19,['Large wetland regions in northern Botswana now dominated by desert and salt flats were once teeming with life It m '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
20,[' MissionPaani JalShakti4JanShakti IndiaJalBachao '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
21,[' MissionPaani JalShakti4JanShakti IndiaJalBachao '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
22,['  had announced its nextgen Gseries smartphone called the MotoG8Plus in Brazil last week and now the devic '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
23,['Following the footsteps of the  rogphone2  nextgen 2020 iPhones could come with a 120 Hz refresh ra '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
24,['  has tried to demonstrate that its cloudcomputing business is roaring disclosing 2 billion in revenue i '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
25,['Did an extraterrestrial asteroid or comet impact trigger the extinction of the Iceage animals A new study suggest '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
26,['MiCC9Pro is official  confirms that the new phone will come with a 108 MP sensor 5x optical zoom and a qu '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
27,['The  AirPodsPro finally see an inear style implementation which many of its competitors have been using for '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
28,['The Rs 2990 broadband plan of  offers up to 4 TB of an introductory monthly FUP data limit while the '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
29,[' hasnt confirmed whether the PC version of DeathStranding will be releasing on Steam or Epic Game '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
30,['If youre using an  iOS device from 2012 or earlier update NOW Earlier versions of iOS didnt account for '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
31,[' shows us how deepfake tech can also be used for good'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
32,['Redmi8 will go on sale at 12 pm today on  and  The 4 GB RAM  64 GB storage varia '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
33,['Mark Zuckerberg claims that FacebookNews will feature high quality factual news reporting while indefensibly ce '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
34,['Xiaomis 108 MP smartphone is expected later tonight Heres what you need to know MiCC9  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
35,['  Kirin 990 mobile processors and Ascend 910 AI chipset are built on  design architecture '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
36,['A meteorite hit the Earth 66 million years ago and ended threequarters of all the life on Earth Now archaeologist '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
37,['Asteroid 162082 1998 HL1 will be flying past the Earth today at 1051 pm IST '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
38,['  MissionPaani IndiaJalBachao JanShakti4JalShakti '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
39,['Here are some pictures of the OnePlus7TPro McLaren Edition '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
40,['The US West Coast is seeing a massive sweeping invasion of purple sea urchins It might not be linked to '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
41,[' chief  announced that the Artemis mission is open to investments by other nations in exchang '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
42,['RedmiNote8 and RedmiNote8proto go on sale today at 12 pm Here are all the launch offers pricing and specificat '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
43,['The triple rear camera setup on the  G8 Plus includes a 48 MP primary camera 16 MP ultrawide camera '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
44,[' had announced the third open beta of OxygenOS for the 7 and 7 Pro two weeks ago Now the fourth editi '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
45,['The trial version of  6 includes features such as Dark mode Fullscreen navigation gestures Permiss '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
46,['RedmiNote8 and RedmiNote8Pro to go on sale tomorrow at 12 pm on   Here are the specs and pricing of the '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
47,[' has been trying to project its cryptocurrency initiative Libra as the answer to get those who are unban '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
48,['Rats that drive arent just unusual If theyre taught the skill they also find the process of learning driving ra '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
49,['The Midwestern Least Tern population has recovered and will be removed from the endangered species list '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
50,['The incidences of polio have gone down by 99 percent because of massive vaccinations efforts and many countries are '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
