,0,neg,neu,pos
1,['0']-----------------------------------,0.0,1.0,0.0
2,['Federal aid to farmers hurt by Trumps trade war has now doubled the entire cost of the 2009 auto bailout And the entire cost of Trumps farm bailout has been paid for by American businesses via tariffs China has not paid one dime of those tariffs  20191031 2358460000330'],0.187,0.813,0.0
3,['Bloombergs latest take on trade war right here pictwittercomX3bZYVAptR20191031 23583000001'],0.302,0.698,0.0
4,['ADH key DODFBIIT Interesting that the IT is yelling about trade war negotiations  20191031 23580800000'],0.199,0.663,0.138
5,['Oh and how are coal and manufacturing doing I thought those industries would be revived on his 1st day How is the economy Growth at under 2 How is that trade war going Did the farmers make any gains Trump is a fraud You got had20191031 23574900000'],0.146,0.759,0.095
6,['Stocks in Asia to Drop on Trade War Economic Data Markets Wrap  23574700000'],0.353,0.647,0.0
7,['A lot of the symptoms of trade war between the US and China is created by democrats raise taxes protectionism leftism Trump does not follow this sway VOTE REPUBLICAN20191031 23553500000'],0.115,0.826,0.059
8,['NB this is why youre losing the trade war20191031 23550500000'],0.224,0.776,0.0
9,['America will lose the trade war Why Arrogance20191031 23542000000'],0.485,0.515,0.0
10,['Trade War Update 3 Charts Show Why Chinas Back Is Against The Wall  20191031 23541700000'],0.231,0.769,0.0
11,[' SenJoniErnst  ChuckGrassley farm aid from Trumps trade war has cost more than double the 2009 auto bailout20191031 23524700000'],0.178,0.822,0.0
12,['Lots of fun YahooFinance on halloween2019 Talked SpecialtyFood candy business halloweentreats KaliOrehxi How climate change trade war impact candy industry  pictwittercomr2Wpblj2Ty20191031 23524600000'],0.143,0.735,0.121
13,['Oh hell Now every bit of reporting about him is gonna be FLORIDA MAN STARTS TRADE WAR FLORIDA MAN THINKS CANADA IS A STATE20191031 23522200000'],0.296,0.704,0.0
14,['Sorry but this is your partyhave you heard Your trade war is bankrupting farmers Your tax bill has destroyed the economic momentum The GDP is 19 which you said was an emergency Youre doing all the things Putin told you to do He must be very pleased with his purchase20191031 23513400000'],0.203,0.73,0.067
15,['Dont forget your trade war sir I think you know better than us Your a bussiness man a succesfull one Right20191031 23513400000'],0.235,0.648,0.117
16,['And the trade war with the word isnt20191031 23512000000'],0.328,0.672,0.0
17,['Trumps trade war has killed 300000 jobs  20191031 23504100000'],0.545,0.455,0.0
18,['Hot off the press Child Health Imprints Series A round AI driving tests in India  via revue AsiaAI AI China India Singapore healthcare tradewar robotics AIpolicy20191031 23501600001'],0.0,1.0,0.0
19,['trump tariffs are hurting farmers New China deal is basically a rumor There have been many of those since this easy trade war began  20191031 23494500000'],0.206,0.688,0.106
20,['Nothing but pain for American farming and manufacturing and vague promises that would only restore trade levels with China back to where they were before Trumps irresponsible trade war20191031 23492900004'],0.241,0.608,0.151
21,['Using the office of the President to enrich you and your family Stealing money from the military to build your Vanity Wall Cutting taxes for the rich and corporations Raising prices with your trade war20191031 23474100000'],0.166,0.749,0.084
22,['Big Bitcoin Bulls Dont Want BTC to Dip Below 9000 reported by    BitcoinNews BitcoinPrice BitcoinPriceCharts BitcoinWhitepaper UschinaTradeWar20191031 23470200001'],0.067,0.933,0.0
23,['Hmm fewer tweets from trump lately Might actually be good for the markets tradewar  23462100000'],0.0,0.828,0.172
24,['Who do I blame the lack of bottlecaps this halloween Trump and the China trade war I need bottlecaps20191031 23453300000'],0.364,0.636,0.0
25,['Huawei Apple should have been the first company to be banned by China in the trade war I hope to hear they are banned because there is a list of companies Apple took out of business20191031 23451900000'],0.226,0.708,0.066
