,0,1
0,['Tweets']------------------------------,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,['First case of dengue spread by sex confirmed in Spain  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,['Alibaba hires more banks on up to US15 billion listing sources  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,['Cambodian opposition figure Sam Rainsy arrives in Malaysia  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4,['Bangladesh evacuates 100000 as Cyclone Bulbul approaches  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
5,['Alibaba hires more banks on up to US15 billion listing  sources  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6,['Barty bagels Garcia as Australia level Fed Cup final  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
7,['Mladenovic gives France 10 lead in Fed Cup final  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8,['Maddinson out of Pakistan tour game on mental health grounds  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,['Kanye West wants to run for president in 2024  and change his name  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
10,['Southwest and American pull 737 MAX until early March nearly a year after grounding  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
11,['Activist investor Icahn sells nearly a third of his Occidental Petroleum stake  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
12,['WATCH Would you eat goats eyes ears or brain CNAs Nivell Rayda tried them in sop kaki kambing goats leg soup '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
13,['Bloomberg files papers paving way for US presidential bid  '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
