,0,1
0,['Leave Pant alone implores Indias standin captain Rohit  '],"{'neg': 0.2, 'neu': 0.8, 'pos': 0.0, 'compound': -0.25}"
1,['Football Wenger contradicts Bayerns claim they turned him down  '],"{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.34}"
2,['Indonesian palm oil exec arrested over journalist killings  '],"{'neg': 0.521, 'neu': 0.479, 'pos': 0.0, 'compound': -0.8225}"
3,['Australia bushfires leave three dead at least 150 homes lost  '],"{'neg': 0.494, 'neu': 0.506, 'pos': 0.0, 'compound': -0.7783}"
4,['Novena crane accident MWC working with employers contractors to help Indian workers family '],"{'neg': 0.174, 'neu': 0.674, 'pos': 0.152, 'compound': -0.1027}"
5,['Hong Kong prodemocracy lawmakers arrested as tensions soar  '],"{'neg': 0.453, 'neu': 0.547, 'pos': 0.0, 'compound': -0.7003}"
6,['JurongClementi Town Council gets warning from SCDF after firefighters unable to use hose reels during blaze '],"{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.34}"
7,['Two dead at least 150 homes lost in Australia bushfires  '],"{'neg': 0.423, 'neu': 0.577, 'pos': 0.0, 'compound': -0.765}"
8,['Moodys downgrades Britain debt outlook to negative  '],"{'neg': 0.508, 'neu': 0.492, 'pos': 0.0, 'compound': -0.7351}"
9,['Hong Kong faces 24th weekend of protest after students death  '],"{'neg': 0.396, 'neu': 0.604, 'pos': 0.0, 'compound': -0.7096}"
10,['Bond stayed for exTwitter employee accused of spying for Saudi Arabia  '],"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.296}"
11,['Two dead at least 100 homes destroyed in Australian bushfires  '],"{'neg': 0.455, 'neu': 0.545, 'pos': 0.0, 'compound': -0.8176}"
12,['One person found dead and 100 homes destroyed in Australian bushfires  '],"{'neg': 0.429, 'neu': 0.571, 'pos': 0.0, 'compound': -0.8176}"
13,['Not the first time Kate Moss ex detained by police for buying drugs  '],"{'neg': 0.172, 'neu': 0.828, 'pos': 0.0, 'compound': -0.4019}"
14,['USOPC announces reforms in wake of Nassar sex scandal  '],"{'neg': 0.244, 'neu': 0.756, 'pos': 0.0, 'compound': -0.4404}"
15,['Sociedad top La Liga despite being held by lowly Leganes  '],"{'neg': 0.156, 'neu': 0.703, 'pos': 0.141, 'compound': -0.0516}"
16,['ExTwitter employee accused of spying for Saudi Arabia granted bond  '],"{'neg': 0.167, 'neu': 0.682, 'pos': 0.152, 'compound': -0.0516}"
17,['Blood supplies inadequate in many countries  '],"{'neg': 0.31, 'neu': 0.69, 'pos': 0.0, 'compound': -0.4019}"
18,['Remains of five more victims of Mexican Mormon killings are buried  '],"{'neg': 0.415, 'neu': 0.585, 'pos': 0.0, 'compound': -0.796}"
19,['Southwest pulls Boeing Max jets until March in longest US delay yet  '],"{'neg': 0.161, 'neu': 0.839, 'pos': 0.0, 'compound': -0.3182}"
20,['Verdict due in landmark Indian holy site dispute  '],"{'neg': 0.245, 'neu': 0.636, 'pos': 0.118, 'compound': -0.34}"
21,['USOPC introduces reforms in response to Nassar scandal  '],"{'neg': 0.266, 'neu': 0.734, 'pos': 0.0, 'compound': -0.4404}"
22,['Trauma outcomes worse with risk factors for heart disease and stroke  '],"{'neg': 0.342, 'neu': 0.658, 'pos': 0.0, 'compound': -0.6369}"
23,['Uncharted territory as bushfires rage across Australias east  '],"{'neg': 0.31, 'neu': 0.69, 'pos': 0.0, 'compound': -0.5574}"
24,['FCC orders station groups to negotiate with ATampT in DirecTV dispute  '],"{'neg': 0.197, 'neu': 0.803, 'pos': 0.0, 'compound': -0.4019}"
25,['Football Ozil Kolasinac attacker jailed for 10 years  '],"{'neg': 0.496, 'neu': 0.504, 'pos': 0.0, 'compound': -0.7845}"
26,['Basketball Heat lose playmaker Winslow to NBA concussion protocol  '],"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.4019}"
