,0,1
0,['Tweets']------------------------------,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,['bSamsung Galaxy Fold UK launch date revealed '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,['bSamsung sued over waterresistant phone claims '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,['bSamsung TVs should be regularly viruschecked the company says '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4,['bSamsung unveils TV that can switch to vertical mode '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
5,['bSamsungs folding phone breaks for reviewers '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6,['bRT  Heres my first handson with the Samsung Galaxy Fold GalaxyFold '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
7,['bSamsung Galaxy Fold The internet reacts '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8,['bSamsung reveals Galaxy Fold and S10 5G '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,['bRT  Samsung has revealed a 75in 190cm television made of modular panels you can rearrange xf0x9fx91x80 CES2019 '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
10,['bSamsung Nigeria tweets update using Apple iPhone '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
11,['bRT  After 5 years of talking about folding devices Samsung unveiled theirs at SDC18 '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
12,['bApple and Samsung fined by Italian authorities over slow phones '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
13,['bSamsung Time for folding smartphones '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
14,['bSamsung Galaxy S9 focuses on the camera '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
15,['bSamsung Galaxy Fold UK launch date revealed '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
16,['bRT  Heres my first handson with the Samsung Galaxy Fold GalaxyFold '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
17,['bSamsung Galaxy Fold The internet reacts '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
18,['bSamsung reveals Galaxy Fold and S10 5G '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
19,['bSamsung Galaxy S9 focuses on the camera '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
20,['bGuardians of the Galaxy Vol 2 Visual effects revealed '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
21,['bSamsung Galaxy Fold UK launch date revealed '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
22,['bRT  Heres my first handson with the Samsung Galaxy Fold GalaxyFold '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
23,['bSamsung Galaxy Fold The internet reacts '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
24,['bSamsung Galaxy S9 focuses on the camera '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
25,['bSamsung Galaxy Fold UK launch date revealed '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
26,['bRT  Heres my first handson with the Samsung Galaxy Fold GalaxyFold '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
27,['bSamsung Galaxy Fold The internet reacts '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
28,['bSamsung reveals Galaxy Fold and S10 5G '],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
