,0,1
0,[' checks in on Day 2 at NetAppINSIGHT 2019 and shares his   on  announcements  their data '],"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.296}"
1,[' takeaways from Day 1 at NetAppINSIGHT Keystone  a new consumption model  Enricos favorite  Al '],"{'neg': 0.0, 'neu': 0.812, 'pos': 0.188, 'compound': 0.4588}"
2,[' takeaways from Day 1 at NetAppINSIGHT  Keystone a new consumption model  Enricos favorite  Al '],"{'neg': 0.0, 'neu': 0.812, 'pos': 0.188, 'compound': 0.4588}"
3,[' sharedinbox brief on   A fullfeatured standalone with great mobile apps solid automatio '],"{'neg': 0.0, 'neu': 0.659, 'pos': 0.341, 'compound': 0.6908}"
4,[' brief on   A shared inbox app that offers deep automation builtin customer satisfaction su '],"{'neg': 0.0, 'neu': 0.71, 'pos': 0.29, 'compound': 0.6486}"
5,[' brief on  an emailfirst customer interaction app with solid reporting serious integrations '],"{'neg': 0.087, 'neu': 0.805, 'pos': 0.107, 'compound': 0.0772}"
6,[' covers  a promising entrant in the G suite shared inbox market niche '],"{'neg': 0.0, 'neu': 0.662, 'pos': 0.338, 'compound': 0.6249}"
7,['Try the GigaBrief for free and keep up with inmarket IT trends necessary to operate secure and monetize emergin '],"{'neg': 0.0, 'neu': 0.759, 'pos': 0.241, 'compound': 0.6908}"
8,[' on the real value proposition of  and the rapid convergence toward omnichannel customer in '],"{'neg': 0.0, 'neu': 0.862, 'pos': 0.138, 'compound': 0.34}"
9,[' Heading to Las Vegas for HitachiNEXT   shares what hes interested in seeing and his expectations '],"{'neg': 0.0, 'neu': 0.754, 'pos': 0.246, 'compound': 0.5994}"
10,['What challenges will we soon face when edge locations produce 40 of the total data that will need to be stored '],"{'neg': 0.0, 'neu': 0.942, 'pos': 0.058, 'compound': 0.0772}"
11,['From our friends at    Checkout the Disrupt startup event October 24 in San Francisco  Heres a 15 o '],"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4767}"
12,['Check out  latest blog post on  launching Smart Workspaces as  repositions the co '],"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4019}"
13,['In his latest Shared Inbox Series post  considers when will the big email vendors offer shared inbox cap '],"{'neg': 0.0, 'neu': 0.78, 'pos': 0.22, 'compound': 0.5859}"
14,['A very small subset of the population is creating AI technology for the world how should AI be architected respon '],"{'neg': 0.0, 'neu': 0.901, 'pos': 0.099, 'compound': 0.296}"
15,[' and  discuss  Direct Memory Module used as a readcache the interesting pr '],"{'neg': 0.0, 'neu': 0.816, 'pos': 0.184, 'compound': 0.4019}"
16,[' is gearing up for the upcoming PureAccelerate conference in Austin Hes interested in seeing more o '],"{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.4019}"
17,[' on shared email inboxes like  are the smartest way to go for customer and partner communicatio '],"{'neg': 0.0, 'neu': 0.628, 'pos': 0.372, 'compound': 0.836}"
18,[' thoughts on  entering the cloudstorage market with its  acquisition  a nice '],"{'neg': 0.0, 'neu': 0.797, 'pos': 0.203, 'compound': 0.4215}"
19,[' just got to vmworld  Click this link to get FREE access to his Key Criteria for Evaluating Enterpri '],"{'neg': 0.0, 'neu': 0.825, 'pos': 0.175, 'compound': 0.6166}"
20,['RT  Great article on the Business Intelligence and Analytics Market Consolidation  via ana'],"{'neg': 0.0, 'neu': 0.604, 'pos': 0.396, 'compound': 0.802}"
21,['WEBINAR AUG 27  Delivering on the Digital Dream Harnessing the Power of the Platform Analyst  amp Robert Dou '],"{'neg': 0.0, 'neu': 0.9, 'pos': 0.1, 'compound': 0.25}"
22,['Engagement Assessment Prioritization Automation Optimization  Analyst Jon Collins  explores the keys to '],"{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.3818}"
23,['Voices in DevOps  Episode 10 A Conversation with Liz Rice  Technology Evangelist with container security special '],"{'neg': 0.0, 'neu': 0.733, 'pos': 0.267, 'compound': 0.6249}"
24,['WEBINAR AUG 27  Delivering on the Digital Dream Harnessing the Power of the Platform Analyst  amp Guest Robe '],"{'neg': 0.0, 'neu': 0.9, 'pos': 0.1, 'compound': 0.25}"
25,['RT  Is AI real intelligence or simulated intelligence  asks in this AI Minute AI artificialintelligence Simulati'],"{'neg': 0.0, 'neu': 0.693, 'pos': 0.307, 'compound': 0.7351}"
26,['RT  What are the things should we expect as we stroll into our future How will technology shape it Wonderful insights from '],"{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.5719}"
27,['Engagement Assessment Prioritization Automation Optimization  Analyst Jon Collins  explores the keys to '],"{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.3818}"
28,['RT  AI extending human lifespan is the topic of todays AIMinute with  Aging AI progress HealthTech '],"{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.4215}"
29,['RT  Want to learn about  from  Listen to her story on the  podcast by '],"{'neg': 0.0, 'neu': 0.915, 'pos': 0.085, 'compound': 0.0772}"
30,['WEBINAR AUG 27  Delivering on the Digital Dream Harnessing the Power of the Platform Analyst  amp Guest Robe '],"{'neg': 0.0, 'neu': 0.9, 'pos': 0.1, 'compound': 0.25}"
31,['Voices in DevOps  Episode 10 A Conversation with Liz Rice  Technology Evangelist with container security special '],"{'neg': 0.0, 'neu': 0.733, 'pos': 0.267, 'compound': 0.6249}"
32,['Engagement Assessment Prioritization Automation Optimization  Analyst Jon Collins  explores the keys to '],"{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.3818}"
33,['Right Size Security Podcast  Episode 5 Bug Bounties  Simon Gibson and Steve Ginsberg discuss bug bounties pene '],"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.34}"
34,['Engagement Assessment Prioritization Automation Optimization  Analyst Jon Collins  explores the keys to '],"{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.3818}"
35,['RT  Brain inspired super computers is the topic on this  AIMinute with  Topics USAF TuringTest neuroscien'],"{'neg': 0.0, 'neu': 0.664, 'pos': 0.336, 'compound': 0.7964}"
36,['Enrico Signoretti  discusses AWSCloud enterprise customers just got an NVMe performance boost for dev '],"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4019}"
37,['RT  ICYMI the report by   analyst on Managing Data Growth and Preventing Cloud Data Silos is available for dow'],"{'neg': 0.053, 'neu': 0.821, 'pos': 0.126, 'compound': 0.3612}"
38,['Engagement Assessment Prioritization Automation Optimization  Analyst Jon Collins  explores the keys to '],"{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.3818}"
39,['Right Size Security Podcast  Episode 5 Bug Bounties  Simon Gibson and Steve Ginsberg discuss bug bounties pene '],"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.34}"
40,['For the foreseeable future systems cant have intent to be creative Thats where I kind of define or draw a dist '],"{'neg': 0.0, 'neu': 0.868, 'pos': 0.132, 'compound': 0.4404}"
41,['Engagement Assessment Prioritization Automation Optimization  Analyst Jon Collins  explores the keys to '],"{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.3818}"
42,['Right Size Security Podcast  Episode 5 Bug Bounties  Simon Gibson and Steve Ginsberg discuss bug bounties pene '],"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.34}"
