,0,1
0,['DonaldTrump reportedly wants to hit China with tariffs on another 200 billion worth of goods tradewar consumergoods  pictwittercomgUG9RFXFM220180830 23551000000'],"{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.2263}"
1,['Here we go US is truly doing its best to try to destabilize China They truly want to be the sole superpower in the world Cant have WW3 start trade war If youre losing let UN do the work20180830 23530300000'],"{'neg': 0.125, 'neu': 0.656, 'pos': 0.218, 'compound': 0.5859}"
2,['I hope the markets didnt think the TradeWar with China is over China is stalling it trying to drag it through Midterms2018 hoping for a BlueWave They probably want to reexamine all the polls before nov 8 2016 and set expectation accordingly  20180830 23412900000'],"{'neg': 0.078, 'neu': 0.776, 'pos': 0.147, 'compound': 0.5106}"
3,[' ASX set for a higher open despite falls on Wall Street overnight as US stocks end their fourday winning streak in the wake of growing tradewar anxieties  READ  pictwittercomzrk9VWt8lX20180830 23410900001'],"{'neg': 0.047, 'neu': 0.801, 'pos': 0.151, 'compound': 0.5423}"
4,[' SFAreaChamber CEO Jason Ball said Sioux Falls is already feeling the effects of farm families tightening their belts due to the tradewar20180830 23372100002'],"{'neg': 0.0, 'neu': 0.939, 'pos': 0.061, 'compound': 0.128}"
5,['Shortsighted China is aligning tariffs to match ours You havent seen the real results of that yet It will just be a tit for tat trade war Im not seeing much moderate in you here with respect Im seeing someone who is straight up Trump20180830 23334100000'],"{'neg': 0.077, 'neu': 0.825, 'pos': 0.098, 'compound': 0.0258}"
6,['Happy LaborDay2018 federal workers Don the Con says no raise for you But the GDP is doing great And dont forget the GOPTaxScam for the 1 Yea and gas prices are the highest in 4 yrs And dont forget the trade war pictwittercomieyYieKMmO20180830 23295200000'],"{'neg': 0.13, 'neu': 0.69, 'pos': 0.18, 'compound': 0.4015}"
7,['realDonaldTrump Resp Trump World must congrat you successfully resolving NKorea issue Remain SCS issue First u did trade war that bringing pressure on China But China most tuff sub for US on SCS issue Well  wish u all the best U must b true friend of Modi govt is imp20180830 23243000000'],"{'neg': 0.062, 'neu': 0.586, 'pos': 0.352, 'compound': 0.9625}"
8,['And this thanks to the trade war he started with China Lemme know when the winning starts 20180830 23181800000'],"{'neg': 0.149, 'neu': 0.611, 'pos': 0.24, 'compound': 0.34}"
9,['Coming UP NDSU Ag Ext holds presser to tell soybean farmers be PREPARED for some tough times due to TradeWar and Tariffs ND Ag Commissioner Doug Goehring joins us to discuss the situation concerns tradewar NAFTA and more Plus BisonBlockParty Tune in 630p on KX4pictwittercomRFPbdNz5QN20180830 23150300000'],"{'neg': 0.031, 'neu': 0.914, 'pos': 0.055, 'compound': 0.2808}"
10,['JenniferJJacobs trade war is good we need it needs an overhaul good that he is doing what he is doing our president Donald Trump the one who keeps his promise20180830 23092300000'],"{'neg': 0.103, 'neu': 0.743, 'pos': 0.154, 'compound': 0.2263}"
11,['Oh and remind me again about how much US debt China holds Here Ill help you   Again not a trade war Riiiiight20180830 22563700000'],"{'neg': 0.182, 'neu': 0.618, 'pos': 0.201, 'compound': 0.1396}"
