,0,1
0,['And from now on by order of decreeMexican Rice will now be called Freedom rice tariffs tradewar  20190530 23594200000'],"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.6369}"
1,['Mexican Deputy Foreign Minister Seade has stated that if the US follows through with its tariffs then Mexico would respond strongly USDMXN tradewar tariffs20190530 23574800001'],"{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.2732}"
2,['How I am seeing the tradewar so far Tomato paste 6 oz for ever was 50 cents a can Now its 76 cents if im lucky but avg 100 a can The tomatoes come from Mexico I dont know where the can comes from20190530 23553700001'],"{'neg': 0.0, 'neu': 0.954, 'pos': 0.046, 'compound': 0.2263}"
3,['That isnt a trade war Mexico needs us wayyyyy more than we need them Its an ultimatum20190530 23504200000'],"{'neg': 0.0, 'neu': 0.836, 'pos': 0.164, 'compound': 0.4847}"
4,['You cannot win a trade war with China20190530 23485600000'],"{'neg': 0.251, 'neu': 0.491, 'pos': 0.257, 'compound': 0.0191}"
5,['After being told that we have to up end our entire operation our operating budget is a smoking crater and brace yourself 16 hour days are coming and Ive been voluntold this is my life until the easy to win trade war Im thinking her emails perhaps werent a big deal20190530 23481600000'],"{'neg': 0.068, 'neu': 0.816, 'pos': 0.116, 'compound': 0.4215}"
6,['Fixation on China as an existential threat to the cherished American Dream is having serious consequences ChinaUS tradewar tariff  pictwittercomMyzYuQ5q9n20190530 23460100000'],"{'neg': 0.174, 'neu': 0.63, 'pos': 0.196, 'compound': 0.1531}"
7,['And what about your best deal ever with Canada and Mexico Seems you prefer the next trade war ImpeachDonaldTrumpNOW20190530 23444600000'],"{'neg': 0.149, 'neu': 0.69, 'pos': 0.161, 'compound': 0.0772}"
8,['And there goes that trade deal you bragged about How big of a bailout will you be giving farmers for this trade war20190530 23442700000'],"{'neg': 0.056, 'neu': 0.847, 'pos': 0.097, 'compound': 0.25}"
9,['So ChuckGrassley likes socialist policies If he were a capitalist he would pull himself and his farm up by his bootstraps and work his way through his favorite presidents trade war20190530 23405300000'],"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.7003}"
10,['Another trade war easy to win  20190530 23393600000'],"{'neg': 0.25, 'neu': 0.321, 'pos': 0.429, 'compound': 0.4215}"
11,['Yeah hurting American farmers further by igniting a trade war with Mexico is a really great way for him to increase his abysmal poll numbers bless your heart20190530 23380800000'],"{'neg': 0.173, 'neu': 0.578, 'pos': 0.249, 'compound': 0.4391}"
