,0,1
0,['Jack Dorsey says Twitter will ban all political ads  by  '],"{'neg': 0.265, 'neu': 0.735, 'pos': 0.0, 'compound': -0.5574}"
1,['Exclusive Unencrypted pagers used across the UKs NHS are exposing sensitive medical data '],"{'neg': 0.139, 'neu': 0.861, 'pos': 0.0, 'compound': -0.2732}"
2,['New startup Capital wants to reintroduce founders to venture debt  by  '],"{'neg': 0.185, 'neu': 0.815, 'pos': 0.0, 'compound': -0.3612}"
3,['RT  Exclusive Unencrypted pagers used across the UKs NHS are exposing health information and medical dataWe found one c'],"{'neg': 0.102, 'neu': 0.825, 'pos': 0.073, 'compound': -0.1531}"
4,['As Juul announces mass layoffs a new lawsuit alleges it shipped a million contaminated pods '],"{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.2263}"
5,['Slack investor Index Ventures backs Slack competitor Quill  by  '],"{'neg': 0.118, 'neu': 0.882, 'pos': 0.0, 'compound': -0.0516}"
6,['The slow death of Flash continues as Google begins to remove it from search  '],"{'neg': 0.218, 'neu': 0.782, 'pos': 0.0, 'compound': -0.5994}"
7,['Samsung teases a clamshell foldable form factor  by  '],"{'neg': 0.239, 'neu': 0.761, 'pos': 0.0, 'compound': -0.296}"
8,['RT  New WhatsApp has blamed  and sued  NSO Group for creating a zeroday calling exploit that targeted the mobile messagi'],"{'neg': 0.198, 'neu': 0.705, 'pos': 0.097, 'compound': -0.3182}"
9,['Tech giants still not doing enough to fight fakes says European Commission  by  '],"{'neg': 0.31, 'neu': 0.69, 'pos': 0.0, 'compound': -0.6597}"
10,['Razer targets gamers with low latency wireless earbuds  by  '],"{'neg': 0.189, 'neu': 0.811, 'pos': 0.0, 'compound': -0.2732}"
11,['The European space tech industry is firing up its booster rockets  Heres a rundown of the investors and startups '],"{'neg': 0.118, 'neu': 0.882, 'pos': 0.0, 'compound': -0.34}"
12,['ByteDance denies it will go public in Hong Kong next quarter  by  '],"{'neg': 0.189, 'neu': 0.811, 'pos': 0.0, 'compound': -0.4215}"
13,['Facebook is failing to prevent another human rights tragedy playing out on its platform report warns  by '],"{'neg': 0.364, 'neu': 0.52, 'pos': 0.116, 'compound': -0.802}"
14,['Revisiting Jumias JForce scandal and Citrons shortsell claims  by  '],"{'neg': 0.244, 'neu': 0.756, 'pos': 0.0, 'compound': -0.4404}"
15,['Facebook staff demand Zuckerberg limit lies in politcal ads  by  '],"{'neg': 0.323, 'neu': 0.677, 'pos': 0.0, 'compound': -0.5106}"
16,['Providing emergency and security services to employees Base Operations raises 1 million  b '],"{'neg': 0.173, 'neu': 0.667, 'pos': 0.16, 'compound': -0.0516}"
17,['RT  New Hackers hit the American Cancer Societys online store with credit card stealing malware'],"{'neg': 0.357, 'neu': 0.529, 'pos': 0.115, 'compound': -0.7579}"
18,['RT  The European SpaceTech industry is firing up its booster rockets  by  '],"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.34}"
19,['Instagram expands ban on suicide content to cover cartoons and memes  by  '],"{'neg': 0.415, 'neu': 0.513, 'pos': 0.072, 'compound': -0.8271}"
20,['Stochastic disaster by   ']-----------,"{'neg': 0.577, 'neu': 0.423, 'pos': 0.0, 'compound': -0.6249}"
21,['Original Content podcast If you havent watched Succession yet what are you even doing '],"{'neg': 0.102, 'neu': 0.898, 'pos': 0.0, 'compound': -0.1511}"
22,['The European SpaceTech industry is firing up its booster rockets  by  '],"{'neg': 0.179, 'neu': 0.821, 'pos': 0.0, 'compound': -0.34}"
23,['Startups Weekly SoftBank is screwing up  by  '],"{'neg': 0.213, 'neu': 0.787, 'pos': 0.0, 'compound': -0.2263}"
24,['Don Valentine who founded Sequoia Capital has died at age 87  by  '],"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.5574}"
25,['A look at 10 years of Facebook abusing publishers  by '],"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.4588}"
26,['Why publishers shouldnt trust Facebook News  by  '],"{'neg': 0.278, 'neu': 0.722, 'pos': 0.0, 'compound': -0.4023}"
27,['The SaaS gold rush will become the Hunger Games '],"{'neg': 0.182, 'neu': 0.818, 'pos': 0.0, 'compound': -0.25}"
28,['Stewart Butterfield says Microsoft sees Slack as existential threat  by  '],"{'neg': 0.254, 'neu': 0.746, 'pos': 0.0, 'compound': -0.5267}"
29,['Why perseat pricing needs to die in the age of AI  by  '],"{'neg': 0.245, 'neu': 0.755, 'pos': 0.0, 'compound': -0.5994}"
30,['Daily Crunch Twitter revenue disappoints  by  '],"{'neg': 0.302, 'neu': 0.698, 'pos': 0.0, 'compound': -0.3818}"
31,['Modern Animal raises 135 million to make going to the vet suck less  by  '],"{'neg': 0.172, 'neu': 0.828, 'pos': 0.0, 'compound': -0.4404}"
32,['Apple TV app comes to Amazons Fire TV Stick and other devices  by  '],"{'neg': 0.226, 'neu': 0.774, 'pos': 0.0, 'compound': -0.3612}"
33,['RT  New Experts say theres one cardinal rule of entering a SCIF you leave your electronics behind And yet dozens of Hous'],"{'neg': 0.057, 'neu': 0.943, 'pos': 0.0, 'compound': -0.0516}"
34,['Twitter Q3 misses big on revenues of 824M and EPS of 005 on the back of adtech glitches  '],"{'neg': 0.095, 'neu': 0.905, 'pos': 0.0, 'compound': -0.2263}"
35,['LinkedIns degree problem  by  ']------,"{'neg': 0.403, 'neu': 0.597, 'pos': 0.0, 'compound': -0.4019}"
36,['Bitcoin and cryptocurrencies are having a very bad day  by  '],"{'neg': 0.296, 'neu': 0.704, 'pos': 0.0, 'compound': -0.5849}"
37,['Plug and Play launches an accelerator to develop technologies addressing plastic waste  by '],"{'neg': 0.163, 'neu': 0.698, 'pos': 0.14, 'compound': -0.1027}"
38,['EUUS Privacy Shield passes third Commission health check  but litigation looms  by '],"{'neg': 0.272, 'neu': 0.728, 'pos': 0.0, 'compound': -0.4767}"
39,['Salesforce Venturess John Somorjai warns NCs politics could dampen its tech hub potential '],"{'neg': 0.097, 'neu': 0.903, 'pos': 0.0, 'compound': -0.1027}"
40,['Amazon is rolling out a news aggregation app for Fire TV and tablets  by  '],"{'neg': 0.156, 'neu': 0.844, 'pos': 0.0, 'compound': -0.34}"
41,['Daily Crunch Facebook fights some election lies  by  '],"{'neg': 0.44, 'neu': 0.56, 'pos': 0.0, 'compound': -0.6705}"
42,['Food Network Kitchen brings live interactive cooking classes to Echo Show Fire TV amp more  '],"{'neg': 0.138, 'neu': 0.862, 'pos': 0.0, 'compound': -0.34}"
43,['FTC settles with Devumi a company that sold fake followers for 25M  by  '],"{'neg': 0.205, 'neu': 0.795, 'pos': 0.0, 'compound': -0.4767}"
44,['Aurora Insight emerges from stealth with 18M and a new take on measuring wireless spectrum  by '],"{'neg': 0.08, 'neu': 0.92, 'pos': 0.0, 'compound': -0.0772}"
45,['Dara Khosrowshahi says Uber remains committed to India but offers no concrete plans  by '],"{'neg': 0.16, 'neu': 0.743, 'pos': 0.097, 'compound': -0.2757}"
46,['Dont miss the QampA Sessions at Disrupt Berlin 2019  '],"{'neg': 0.151, 'neu': 0.849, 'pos': 0.0, 'compound': -0.1531}"
47,['Dont miss out Apply for the TC Hackathon at Disrupt Berlin 2019 '],"{'neg': 0.118, 'neu': 0.882, 'pos': 0.0, 'compound': -0.1531}"
48,['Heres the very last trailer for Star Wars The Rise of Skywalker  by  '],"{'neg': 0.217, 'neu': 0.783, 'pos': 0.0, 'compound': -0.5574}"
49,['India moves closer to regulating internet services as it fears unimaginable disruption to democracy '],"{'neg': 0.29, 'neu': 0.71, 'pos': 0.0, 'compound': -0.6486}"
50,['New Facebook features fight election lies everywhere but ads  by  '],"{'neg': 0.291, 'neu': 0.709, 'pos': 0.0, 'compound': -0.4019}"
51,['Apples control over the App Store is no longer sustainable  by  '],"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.296}"
52,['Netflix to raise 2 billion in debt to fund more content spending '],"{'neg': 0.185, 'neu': 0.815, 'pos': 0.0, 'compound': -0.3612}"
53,['RT  New NordVPN a widely used VPN provider says it was hacked '],"{'neg': 0.197, 'neu': 0.803, 'pos': 0.0, 'compound': -0.4019}"
54,['Dont miss out Apply for the TC Hackathon at Disrupt Berlin 2019 '],"{'neg': 0.118, 'neu': 0.882, 'pos': 0.0, 'compound': -0.1531}"
55,['Gojek founder and CEO Nadiem Makarim resigns to join Indonesian cabinet Soelistyo and Aluwi to be new coCEOs '],"{'neg': 0.107, 'neu': 0.791, 'pos': 0.102, 'compound': -0.0258}"
56,['Should we rethink the politics of blocking  '],"{'neg': 0.271, 'neu': 0.729, 'pos': 0.0, 'compound': -0.3818}"
57,['Original Content podcast El Camino provides a quiet coda to Breaking Bad  by  '],"{'neg': 0.226, 'neu': 0.774, 'pos': 0.0, 'compound': -0.5423}"
58,['The Los Angeles Fire Department wants more drones  by  '],"{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.34}"
59,['Facebook isnt free speech its algorithmic amplification optimized for outrage by  '],"{'neg': 0.333, 'neu': 0.5, 'pos': 0.167, 'compound': -0.4592}"
60,['HuffPost is reportedly on the auction block  by  '],"{'neg': 0.266, 'neu': 0.734, 'pos': 0.0, 'compound': -0.4404}"
61,['The new iPhone is ugly  ']------------,"{'neg': 0.398, 'neu': 0.602, 'pos': 0.0, 'compound': -0.5106}"
62,['Apples China stance makes for strange political alliances as AOC and Ted Cruz slam the company '],"{'neg': 0.227, 'neu': 0.773, 'pos': 0.0, 'compound': -0.5267}"
63,['35B face data lawsuit against Facebook will proceed  by  '],"{'neg': 0.174, 'neu': 0.826, 'pos': 0.0, 'compound': -0.2263}"
64,['Kenyan telco Safaricoms Alpha incubator faces uncertain future  by  '],"{'neg': 0.196, 'neu': 0.804, 'pos': 0.0, 'compound': -0.296}"
65,['Airbnbs WeWork problem  by  ']--------,"{'neg': 0.403, 'neu': 0.597, 'pos': 0.0, 'compound': -0.4019}"
66,['Every state but Alaska has reported vape lung victims now numbering 1479 nationwide  '],"{'neg': 0.185, 'neu': 0.815, 'pos': 0.0, 'compound': -0.4497}"
67,['The battle to become the Mexican Nubank just started  '],"{'neg': 0.224, 'neu': 0.776, 'pos': 0.0, 'compound': -0.3818}"
68,['Update Turns out yet another NVIDIA Shield streaming device leaked today  '],"{'neg': 0.173, 'neu': 0.827, 'pos': 0.0, 'compound': -0.3182}"
69,['Greyparrot is building computer vision systems for the waste management industry TCDisrupt '],"{'neg': 0.177, 'neu': 0.696, 'pos': 0.127, 'compound': -0.2023}"
70,['Juul will stop selling mango creme fruit and cucumber pod flavors  by  '],"{'neg': 0.155, 'neu': 0.845, 'pos': 0.0, 'compound': -0.296}"
71,['Cloud kitchens is an oxymoron  ']-----,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.128}"
72,['ArsenalBio emerges from stealth with 85 million and a dream team to fight cancer  by '],"{'neg': 0.39, 'neu': 0.516, 'pos': 0.094, 'compound': -0.743}"
73,['Winnow raises 12M Series B for its food waste solution for commercial kitchens  by  '],"{'neg': 0.164, 'neu': 0.702, 'pos': 0.135, 'compound': -0.128}"
74,['Edge computing startup Pensando comes out of stealth mode with a total of 278 million in funding '],"{'neg': 0.075, 'neu': 0.925, 'pos': 0.0, 'compound': -0.0772}"
75,['RT  Two years ago a hacker group told me they broke into a massive dark web child porn site that had thousands of users Tu'],"{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.4215}"
76,['Hulu ramps up its personalization efforts starting with launch of Like  Dislike buttons  b '],"{'neg': 0.152, 'neu': 0.702, 'pos': 0.146, 'compound': -0.0258}"
77,['UK quietly ditches porn age checks in favor of wider online harms rules  by  '],"{'neg': 0.169, 'neu': 0.688, 'pos': 0.143, 'compound': -0.128}"
78,['RealTime Robotics scores 117M Series A to help robots avoid collisions  by  '],"{'neg': 0.269, 'neu': 0.562, 'pos': 0.169, 'compound': -0.1531}"
79,['Amazon Pay users in India can now pay their utility mobile and cable bills with Alexa  by '],"{'neg': 0.149, 'neu': 0.851, 'pos': 0.0, 'compound': -0.2023}"
80,['Annie Leibovitz used the Pixel 4 to shoot a new collection of photos  by  '],"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.34}"
81,['Google teases fully wireless Pixel Buds arriving Spring 2020  by  '],"{'neg': 0.18, 'neu': 0.82, 'pos': 0.0, 'compound': -0.296}"
82,['WeWork pulls thousands of phone booths out of service over formaldehyde scare  by '],"{'neg': 0.198, 'neu': 0.802, 'pos': 0.0, 'compound': -0.4939}"
83,['Hulu rolls out 4K content to Xbox One with Amazon Fire TV and others coming soon  by '],"{'neg': 0.119, 'neu': 0.796, 'pos': 0.085, 'compound': -0.1779}"
