,0,neg,neu,pos,net
1,['RT  Samsungs 65inch Q60 QLED 4K TV is 997 at Amazon which is the lowest price that weve seen so far If youre looking for'],0.095,0.842,0.062,0.033
2,['Samsungs newest rugged tablet is available now in the US starting at 59999  '],0.0,1.0,0.0,0.0
3,['Samsung Galaxy Fold rereview here we go again  '],0.0,1.0,0.0,0.0
4,['Samsungs new Galaxy Book Flex and Ion laptops bring better designs to the lineup  '],0.0,0.828,0.172,-0.172
5,['Samsung unveils new foldable compact phone concept '],0.0,1.0,0.0,0.0
6,['Samsungs new Galaxy Books double as a wireless charger '],0.0,1.0,0.0,0.0
7,['Samsungs space selfie balloon crashlands on Michigan farm  '],0.0,1.0,0.0,0.0
8,['Samsung announces more powerful Exynos processor without builtin 5G  '],0.0,0.744,0.256,-0.256
9,['Samsung has reportedly fixed the Galaxy S10 fingerprint recognition issue  '],0.0,1.0,0.0,0.0
10,['Samsung patent application reveals augmented reality headset design  '],0.0,1.0,0.0,0.0
11,['Samsung says fingerprint security fix is coming as early as next week  '],0.0,0.833,0.167,-0.167
12,['Samsung to patch the Galaxy S10s fingerprint sensor over screen protector concerns  '],0.0,1.0,0.0,0.0
13,['Samsung launches Android 10 beta for Galaxy S10 devices  '],0.0,1.0,0.0,0.0
14,['Samsung Galaxy Watch Active 2 review good is as good as it gets  '],0.0,0.541,0.459,-0.459
15,['iFixits new Galaxy Fold teardown shows exactly how Samsung tried to fix the Fold  '],0.0,1.0,0.0,0.0
16,['Samsungs new Chromebook 4 offers a refined design USBC charging and now comes in two sizes '],0.0,1.0,0.0,0.0
17,['The Galaxy Fold fell short of Samsungs claims in folding torture test  '],0.245,0.755,0.0,0.245
18,['Samsungs Galaxy Home Bixby speaker quietly missed another launch date  '],0.18,0.82,0.0,0.18
19,['Samsung phones now work with wireless Android Auto  '],0.0,1.0,0.0,0.0
20,['Samsung Galaxy Tab S6 review flashy hardware let down by sloppy software  '],0.0,1.0,0.0,0.0
21,['RT  Samsung Galaxy Tab S6 review master entertainer amateur worker '],0.0,0.794,0.206,-0.206
22,['Samsung will let Galaxy Fold owners replace their screens once for 149  '],0.0,1.0,0.0,0.0
23,['Samsungs new camera sensor has the tiniest pixels ever  '],0.0,1.0,0.0,0.0
24,['Samsung Galaxy S10 gets DeX support and Note 10 camera features  '],0.0,0.803,0.197,-0.197
25,['The Galaxy Fold is still extremely fragile and Samsung knows it  '],0.0,1.0,0.0,0.0
26,[' looks at whether the Galaxy Watch Active 2 will finally solve the problem of smartwatches for Android use '],0.116,0.69,0.194,-0.078
27,['Google finds Android zero day that can take control of Pixel and Galaxy devices  '],0.0,1.0,0.0,0.0
28,['The Galaxy Fold goes on sale again in the US on September 27th  '],0.0,1.0,0.0,0.0
29,['Chromebooks will more easily sideload Android apps with Chrome OS 80 in February  '],0.0,0.828,0.172,-0.172
30,['Chromebook 101 whats different about the Chromebook keyboard  '],0.0,1.0,0.0,0.0
31,['How to remap your Chromebooks keyboard  '],0.0,1.0,0.0,0.0
32,['Pixelbook Go handson Googles cheapest Chromebook yet '],0.0,1.0,0.0,0.0
33,['How the Pixelbook Go compares to other Chromebooks  '],0.0,1.0,0.0,0.0
34,['Chromebook 101 How to change your Chrome OS channels and get unreleased features  '],0.0,1.0,0.0,0.0
35,['Pixelbook Go Google finally made a reasonably priced Chromebook '],0.0,1.0,0.0,0.0
36,['Chromebook 101 how to customize your Chromebooks desktop    '],0.0,1.0,0.0,0.0
37,['Chromebook 101 how to use Android apps on your Chromebook  '],0.0,1.0,0.0,0.0
38,['Chromebook 101 How to add another user to your Chromebook  '],0.0,1.0,0.0,0.0
39,['HPs new Chromebooks support the universal stylus standard  '],0.0,0.748,0.252,-0.252
40,['The best Chromebook you can buy right now '],0.0,0.656,0.344,-0.344
