,0,1
0,['Samsung Issues Statement on Fingerprint Vulnerability Software Update is Coming'],"{'neg': 0.174, 'neu': 0.826, 'pos': 0.0, 'compound': -0.2263}"
1,['Samsung Pay Gets International Money Transfers'],"{'neg': 0.219, 'neu': 0.781, 'pos': 0.0, 'compound': -0.1027}"
2,['  what are the samsung issues as for iphone vs p4 we wont have any good idea until next m '],"{'neg': 0.112, 'neu': 0.888, 'pos': 0.0, 'compound': -0.3412}"
3,['Samsung Galaxy Note 10 Review It Doesnt Get Much Better Than This'],"{'neg': 0.179, 'neu': 0.821, 'pos': 0.0, 'compound': -0.3412}"
4,['Samsung is so weird sometimes']-------,"{'neg': 0.359, 'neu': 0.641, 'pos': 0.0, 'compound': -0.3052}"
5,['This Might Shock You but the Samsung Galaxy Fold was Rushed galaxyfold '],"{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.2023}"
6,['Samsung confirms Galaxy Fold delay as it investigates and runs internal tests '],"{'neg': 0.161, 'neu': 0.839, 'pos': 0.0, 'compound': -0.3182}"
7,['Samsung Might Have Delayed the Galaxy Fold galaxyfold '],"{'neg': 0.192, 'neu': 0.808, 'pos': 0.0, 'compound': -0.2263}"
8,['Report Your Samsung Galaxy Depreciates at Alarming Rate 42 in Month One'],"{'neg': 0.12, 'neu': 0.88, 'pos': 0.0, 'compound': -0.128}"
9,['And Heres a Samsung Galaxy S10 Promo Video Leak '],"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.34}"
10,['Samsung keeps teasing the fold ']-----,"{'neg': 0.206, 'neu': 0.794, 'pos': 0.0, 'compound': -0.0772}"
11,['What Exactly is Samsung Trying to Tease Here'],"{'neg': 0.247, 'neu': 0.753, 'pos': 0.0, 'compound': -0.3182}"
12,['Samsung and fake Supreme are no longer working together'],"{'neg': 0.356, 'neu': 0.403, 'pos': 0.242, 'compound': -0.1779}"
13,['Samsung Galaxy S10 Galaxy S10 Stop by the FCC galaxys10 '],"{'neg': 0.18, 'neu': 0.82, 'pos': 0.0, 'compound': -0.296}"
14,['Samsung Teases Foldable Phone in Futuristic Concept Video'],"{'neg': 0.239, 'neu': 0.761, 'pos': 0.0, 'compound': -0.296}"
