,0,1
0,['Tweets']------------------------------,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,['0']-----------------------------------,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,['Againbecause it tankedbecause of Trump Trade War20190130 23542700000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,['Second Chinese man stole Apples futurecar secrets for company in China  via SCMPNews Huawei Xis Tradewar Apple20190130 23092200000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4,['realDonaldTrump Nailed It   now lets end the TradeWar ATH 20190130 22570000000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
5,['Usiminas 310119 Entrar na operao apenas aps romper 1038 contabilidade instago gestao insta trade TradeWar trading b3 bolsadevalores bovespa acoes mercadodevalores investimentos investimento swingtrade swingtrading opcoes forex forextrading forextrader20190130 22423400001'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6,['It has been way over that until you started a trade war20190130 22360900000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
7,['Thats still more than 1000 points below where it was when you started your fucking trade war20190130 22030900000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8,['Shifts in Chinas Industrial SupplyChain and the US China TradeWar    21594500000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,['Why are Republicans HouseGOP HouseSenate GOP senatemajldr allowing BigBaby realDonaldTrump to run wild Why wont they do their jobs THAT is the million dollar question NoWall Farmers TradeWar pictwittercomkVSCgZwFeb20190130 21581000002'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
10,['It has gone down 1000 points since you started the trade war20190130 21574400000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
11,['and this isnt even factoring in another TradeWar winheadline20190130 21525100000'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
