,0,1
0,['Way to ROCK the World Mr POTUS  Cannot say enough good things that have been accomplished thus far If the trade war with China is no longer perhaps we can rescind that 500Byr imbalance after all GOD BLESS YOU Sir20190629 23533700000'],"{'neg': 0.161, 'neu': 0.663, 'pos': 0.176, 'compound': 0.1926}"
1,['Watch that dummy come out of his easy to win trade war with LESS than he went in with20190629 23510100000'],"{'neg': 0.141, 'neu': 0.616, 'pos': 0.243, 'compound': 0.4215}"
2,['US and China agree to continue TariffTalks Heres a timeline of how the TradeWar started  23471600000'],"{'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.3612}"
3,['WATCH GVWires Jamie Ouverson explains tariffs the presidents tradewar and how some American companies used Trumps tariffs on Chinese goods as an opportunity to raise their prices and increase their profits  23450100000'],"{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.7906}"
4,['others the Pubs had been talking about and so they did Especially POC especially immigrants Here is the problem none of the Pubs other fiscaltradewar hawksslave to the rich policies ever helped those workers get a good job And they kept getting ignored watching PG 520190629 23382700000'],"{'neg': 0.093, 'neu': 0.785, 'pos': 0.121, 'compound': 0.3612}"
5,['Excellent summary US business groups praise Trumps trade war truce but want an enforceable agreement with China  23335300001'],"{'neg': 0.1, 'neu': 0.571, 'pos': 0.329, 'compound': 0.6808}"
6,['MrPresident is look playful faces with President Sianyway is looks good for relationship between US and China in trade warhahahahahah20190629 23161800000'],"{'neg': 0.0, 'neu': 0.766, 'pos': 0.234, 'compound': 0.7003}"
7,['We play a lot of regular season games in London in numerous sports and all we get in return is preseason matches TradeWar20190629 23145800000'],"{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.34}"
8,['China Win tradewar20190629 23142200000'],"{'neg': 0.0, 'neu': 0.441, 'pos': 0.559, 'compound': 0.5859}"
9,['Trump to allow US firms to sell technology to Huawei and promises farmers they would win from new talks in wideranging news conference   Sounds to me that China is winning the trade war With 2020 elections coming Trump had to blink20190629 23054400000'],"{'neg': 0.074, 'neu': 0.703, 'pos': 0.222, 'compound': 0.7783}"
10,['Yet the outlines of the tentative peace accordreached on Saturdaycould further cement a broad reshuffling of the global economic order that undermines Chinas decadeslong role as the worlds factory floor   TradeWar20190629 23040600000'],"{'neg': 0.069, 'neu': 0.831, 'pos': 0.1, 'compound': 0.2732}"
11,['US business groups praise Trumps TradeWar truce but want an enforceable agreement with China 23032600000'],"{'neg': 0.0, 'neu': 0.599, 'pos': 0.401, 'compound': 0.7935}"
12,['designed and engineered in the US and includes USmade componentsManufacturing labor costs in Chinaremain much lower than in the US said Paul Gagnon a consumerelectronics analystBut Im glad if Tim Apple isnt paying excess attention to Trumps trade war20190629 22575900000'],"{'neg': 0.052, 'neu': 0.877, 'pos': 0.071, 'compound': 0.2023}"
13,['Truce struck in USChina trade war   If you can trust this its good news but the question remains can we  auspol20190629 22505600000'],"{'neg': 0.152, 'neu': 0.691, 'pos': 0.157, 'compound': 0.0387}"
14,['Negotiations still are to take place but a big development US tech firms had desperately lobbied for this  it may save Huaweis phone business outside US See earlier story   WSJ update   G20OsakaSummithuawei tradewar trump 20190629 22503100002'],"{'neg': 0.084, 'neu': 0.811, 'pos': 0.106, 'compound': 0.2263}"
15,['So will you allow Canada to free Huaweis Meng Or just leave it to suffer from your silly tradewar uspoli cdnpoli20190629 22452100000'],"{'neg': 0.168, 'neu': 0.607, 'pos': 0.225, 'compound': 0.1531}"
16,['Breaking  Trump announces two big deals  biggest deals ever  tremendous deals for US farmers Beautifull deals India agrees to buy large amounts of beef and Saudi Arabia will purchase pork meat WINNING G20Summit TradeWar China Trump Farmers Agriculture20190629 22441300000'],"{'neg': 0.0, 'neu': 0.862, 'pos': 0.138, 'compound': 0.7125}"
17,['3 Huawei gives GoogleAndroid the clear advantage over Apple Google wasnt going to lose that Huawei Google Android Apple Tech TradeWar20190629 22433600000'],"{'neg': 0.0, 'neu': 0.735, 'pos': 0.265, 'compound': 0.7057}"
18,['Will Trump and Xis oneonone talks on the tradewar lead to peaceful alternatives or amount to nothing  22350300001'],"{'neg': 0.0, 'neu': 0.842, 'pos': 0.158, 'compound': 0.4939}"
19,['Trump and Xi Agree to Truce in USChina TradeWar  20190629 22315200000'],"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.3612}"
20,['Rising tides help some ships more than others during a tradewar pictwittercomIME14swVJZ20190629 22224500000'],"{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.4019}"
